HIT_nb,Video_name,Actions,Worker_1,Worker_2,Worker_3
3FI30CQHVJI8OGF3MF816MJUN55B6Z,2p0_3mini_2.mp4,taste good,1,2,-1
3FI30CQHVJI8OGF3MF816MJUN55B6Z,2p0_3mini_2.mp4,taste even more egg like,1,2,-1
3FI30CQHVJI8OGF3MF816MJUN55B6Z,2p0_3mini_2.mp4,making it,0,1,-1
3FI30CQHVJI8OGF3MF816MJUN55B6Z,2p0_3mini_2.mp4,add to the egg tofu mixture too,1,1,-1
3FI30CQHVJI8OGF3MF816MJUN55B6Z,2p0_3mini_2.mp4,see how good plant-based food,1,1,-1
3FI30CQHVJI8OGF3MF816MJUN55B6Z,2p0_3mini_2.mp4,see the recipe that I,0,1,-1
3FI30CQHVJI8OGF3MF816MJUN55B6Z,2p0_3mini_2.mp4,go super easy simple recipes,0,2,-1
3FI30CQHVJI8OGF3MF816MJUN55B6Z,2p0_3mini_2.mp4,has you roast a lot of stuff a lot of the vegetables in the oven,1,1,-1
3FI30CQHVJI8OGF3MF816MJUN55B6Z,2p0_3mini_2.mp4,show you that,0,1,-1
3FI30CQHVJI8OGF3MF816MJUN55B6Z,2p0_3mini_2.mp4,do different oh no there,1,2,-1
3FI30CQHVJI8OGF3MF816MJUN55B6Z,2p0_3mini_2.mp4,make it,1,1,-1
3FI30CQHVJI8OGF3MF816MJUN55B6Z,2p0_3mini_2.mp4,check it out,0,1,-1
3FI30CQHVJI8OGF3MF816MJUN55B6Z,2p0_3mini_2.mp4,show you as I,0,1,-1
3FI30CQHVJI8OGF3MF816MJUN55B6Z,2p0_3mini_2.mp4,do that,2,1,-1
3FI30CQHVJI8OGF3MF816MJUN55B6Z,7p1_3mini_4.mp4,took a square dollar tree bin one of the really big ones,1,1,-1
3FI30CQHVJI8OGF3MF816MJUN55B6Z,7p1_3mini_4.mp4,lay it flat,1,0,-1
3FI30CQHVJI8OGF3MF816MJUN55B6Z,7p1_3mini_4.mp4,hope you guys,0,2,-1
3FI30CQHVJI8OGF3MF816MJUN55B6Z,7p1_3mini_4.mp4,goes like a file system into your deep freezer,0,0,-1
3FI30CQHVJI8OGF3MF816MJUN55B6Z,7p1_3mini_4.mp4,add things like cilantro,0,0,-1
3FI30CQHVJI8OGF3MF816MJUN55B6Z,7p1_3mini_4.mp4,frozen I just,0,0,-1
3FI30CQHVJI8OGF3MF816MJUN55B6Z,7p1_3mini_4.mp4,goes into four different Ziploc bags which,0,0,-1
3FI30CQHVJI8OGF3MF816MJUN55B6Z,7p1_3mini_4.mp4,got the chicken quinoa,1,0,-1
3FI30CQHVJI8OGF3MF816MJUN55B6Z,7p1_3mini_4.mp4,hear in the background Oh,0,1,-1
3FI30CQHVJI8OGF3MF816MJUN55B6Z,7p1_3mini_4.mp4,find what we,0,2,-1
3FI30CQHVJI8OGF3MF816MJUN55B6Z,7p1_3mini_4.mp4,leave it a thumbs up,0,0,-1
3FI30CQHVJI8OGF3MF816MJUN55B6Z,3mini_5.mp4,take him on a walk you just,0,1,-1
