Video_name,Visible Actions,Not Visible Actions
2p0_3mini_2.mp4,,taste good
2p0_3mini_2.mp4,,taste even more egg like
2p0_3mini_2.mp4,,making it
2p0_3mini_2.mp4,,add to the egg tofu mixture too
2p0_3mini_2.mp4,,see how good plant-based food
2p0_3mini_2.mp4,,see the recipe that I
2p0_3mini_2.mp4,,go super easy simple recipes
2p0_3mini_2.mp4,,has you roast a lot of stuff a lot of the vegetables in the oven
2p0_3mini_2.mp4,,show you that
2p0_3mini_2.mp4,,do different oh no there
2p0_3mini_2.mp4,,make it
2p0_3mini_2.mp4,,check it out
2p0_3mini_2.mp4,,show you as I
2p0_3mini_2.mp4,,do that
7p1_3mini_4.mp4,,took a square dollar tree bin one of the really big ones
7p1_3mini_4.mp4,,lay it flat
7p1_3mini_4.mp4,,hope you guys
7p1_3mini_4.mp4,goes like a file system into your deep freezer,
7p1_3mini_4.mp4,add things like cilantro,
7p1_3mini_4.mp4,frozen I just,
7p1_3mini_4.mp4,goes into four different Ziploc bags which,
7p1_3mini_4.mp4,,got the chicken quinoa
7p1_3mini_4.mp4,,hear in the background Oh
7p1_3mini_4.mp4,,find what we
7p1_3mini_4.mp4,leave it a thumbs up,
6p1_3mini_1.mp4,get out of bed,
6p1_3mini_1.mp4,,head straight to the couch the first thing that I
6p1_3mini_1.mp4,,looking at my phone in the morning anymore
6p1_3mini_1.mp4,mix my coffee with a little bit of soy milk,
6p1_3mini_1.mp4,,stay asleep which
6p1_3mini_1.mp4,,give it a thumbs up
6p1_3mini_1.mp4,,use the black coffee pods I
8p1_3mini_4.mp4,,cooled pasta into a bowl
8p1_3mini_4.mp4,put mixed nuts,
8p1_3mini_4.mp4,,add a bunch of veggies
8p1_3mini_4.mp4,dried apricots,
8p1_3mini_4.mp4,,added some dates which
8p1_3mini_4.mp4,make it a little bit healthier,
8p1_3mini_4.mp4,,sliced in half
8p1_3mini_4.mp4,,using for these lunches I
8p1_3mini_4.mp4,,found them on Amazon for around 10
8p1_3mini_4.mp4,,come with a spork which
8p1_3mini_4.mp4,,use brown rice or quinoa pasta just
8p1_3mini_4.mp4,,eat it every single day sometimes twice a day
8p1_3mini_4.mp4,,give it some added protein
8p1_3mini_4.mp4,,put the
10p1_3mini_1.mp4,,do during the week or on the weekend when you
10p1_3mini_1.mp4,,has about 17 grams of protein that
10p1_3mini_1.mp4,show you,
10p1_3mini_1.mp4,,get one that
10p1_3mini_1.mp4,,mix mine this
10p1_3mini_1.mp4,,heard of it
10p1_3mini_1.mp4,,add mine with a whole banana
10p1_3mini_1.mp4,,has sugar already you
10p1_3mini_1.mp4,,snacking on any of those junk foods that people
10p1_3mini_1.mp4,,do my first breakfast option here
10p1_3mini_1.mp4,,keep you full hopefully into lunch time
10p1_3mini_1.mp4,control it,
10p1_3mini_1.mp4,,add your sugar
5p0_3mini_7.mp4,,made with coconut milk it
5p0_3mini_7.mp4,,eat in a daze if you
5p0_3mini_7.mp4,eat one,
5p0_3mini_7.mp4,,click the
5p0_3mini_7.mp4,,check out some more what I
5p0_3mini_7.mp4,ended up just,
5p0_3mini_7.mp4,,eating the whole bar
5p0_3mini_7.mp4,,finish off my friday night I
5p0_3mini_7.mp4,,see you next Sunday bye
5p0_3mini_7.mp4,,making this recipe I
5p0_3mini_7.mp4,,eats for the day I
5p0_3mini_7.mp4,,get some extra veggies
5p0_3mini_7.mp4,,tasted incredible this
5p0_3mini_7.mp4,,stop myself from
9p0_3mini_5.mp4,freaked her out Brooks,
9p0_3mini_5.mp4,offer him a lot of variety in the end the goal,
9p0_3mini_5.mp4,,pique her interest
9p0_3mini_5.mp4,,get together a few friends
9p0_3mini_5.mp4,,come to terms with that another day another peanut butter
9p0_3mini_5.mp4,support it,
9p0_3mini_5.mp4,,making lunch
5p0_3mini_5.mp4,,steamed it in the microwave just like you
5p0_3mini_5.mp4,added some kind of like pizza ingredients,
5p0_3mini_5.mp4,picked up a huge sweet potato from the store on my way home,
5p0_3mini_5.mp4,got some of this tomato basil kinda like a marinara sauce,
5p0_3mini_5.mp4,,took out the I just
5p0_3mini_5.mp4,,mashed the
5p0_3mini_5.mp4,,make a big potato
2p0_3mini_1.mp4,,tasked me with
2p0_3mini_1.mp4,,doing something a little different this morning we
2p0_3mini_1.mp4,,do since I
2p0_3mini_1.mp4,,watching this I
2p0_3mini_1.mp4,,eat more
2p0_3mini_1.mp4,,do my parents for breakfast or brunch
2p0_3mini_1.mp4,,bringing a frittata
2p0_3mini_1.mp4,,exchanged gifts with just each other
2p0_3mini_1.mp4,make a tofu quiche,
2p0_3mini_1.mp4,,hope that
2p0_3mini_1.mp4,celebrate anything else during the holiday I,
2p0_3mini_1.mp4,,celebrate if you
2p0_3mini_1.mp4,,bring a plant-based option to the meal
2p0_3mini_1.mp4,,hope you
9p0_3mini_2.mp4,stay warm for a very long time,
9p0_3mini_2.mp4,comes with four slots,
9p0_3mini_2.mp4,warm them up,
9p0_3mini_2.mp4,making sandwiches,
9p0_3mini_2.mp4,giving you specific compartments now there,
9p0_3mini_2.mp4,pour a little bit of hot water in them,
9p0_3mini_2.mp4,,sporks they
9p0_3mini_2.mp4,,make sure that they
9p0_3mini_2.mp4,,use when I
9p0_3mini_2.mp4,organize your supplies if you,
9p0_3mini_2.mp4,pack your kids lunches by,
9p0_3mini_2.mp4,set aside a drawer in your kitchen,
9p0_3mini_2.mp4,,moving on to the main component I really
9p0_3mini_2.mp4,,put your warm pasta in there
6p0_3mini_4.mp4,,pop that on to the store for another few minutes anyway from 5 to 10 minutes
6p0_3mini_4.mp4,,speed up the cooking time though you
6p0_3mini_4.mp4,,works too
6p0_3mini_4.mp4,,chopped whole almonds just
6p0_3mini_4.mp4,,serve it in a ball
6p0_3mini_4.mp4,,add extra sweet another it just
6p0_3mini_4.mp4,top it with 1 tablespoon of unsweetened almond butter,
6p0_3mini_4.mp4,,fall in the ODE the sweeter the earth
6p0_3mini_4.mp4,,depends on how much of a sweet tooth I
6p0_3mini_4.mp4,,use the one of the other others some nut butter or some raw almonds
6p0_3mini_4.mp4,depends what kind of mood I,
6p0_3mini_4.mp4,cook the apples,
6p0_3mini_4.mp4,,add the Apple foods a lot sooner that
4p1_3mini_17.mp4,get them from Walmart from Amazon anywhere you,
4p1_3mini_17.mp4,,tear into
4p1_3mini_17.mp4,,searching for
4p1_3mini_17.mp4,grab it,
4p1_3mini_17.mp4,,link them down below
4p1_3mini_17.mp4,,got this picture
4p1_3mini_17.mp4,,pick them up for pretty inexpensive
4p1_3mini_17.mp4,,found some
4p1_3mini_17.mp4,,seen these all over you
4p1_3mini_17.mp4,moving back into the living room I,
4p1_3mini_17.mp4,got a couple bunches of flowers from the Dollar Tree,
4p1_3mini_17.mp4,,saw it at Smith 's the other day on sale
4p1_3mini_17.mp4,,found them on Amazon
4p1_3mini_17.mp4,set those in there,
4p0_3mini_4.mp4,make their beds in the morning,
4p0_3mini_4.mp4,,give you good sustained energy throughout the entire morning
4p0_3mini_4.mp4,eat a healthier breakfast in the morning you,
4p0_3mini_4.mp4,,sets the tone for your entire day of
4p0_3mini_4.mp4,,take on the day than people who
4p0_3mini_4.mp4,,eat for breakfast really
4p0_3mini_4.mp4,,make the choice
4p0_3mini_4.mp4,,making healthier food choices
4p0_3mini_4.mp4,eating a healthy breakfast in the morning well what,
4p0_3mini_4.mp4,,make them
4p0_3mini_4.mp4,make their beds I,
4p0_3mini_4.mp4,,make someone feel
4p0_3mini_4.mp4,,shown that people who
4p0_3mini_4.mp4,,eating if you
4p1_3mini_15.mp4,,doing it
4p1_3mini_15.mp4,,looked at them
