Video_name,Visible Actions,Not Visible Actions
2p0_3mini_2.mp4,,taste good
2p0_3mini_2.mp4,,taste even more egg like
2p0_3mini_2.mp4,,making it
2p0_3mini_2.mp4,,add to the egg tofu mixture too
2p0_3mini_2.mp4,,see how good food
2p0_3mini_2.mp4,,see the recipe that
2p0_3mini_2.mp4,,go super easy simple recipes
2p0_3mini_2.mp4,,has roast a lot of stuff a lot of the vegetables in the oven
2p0_3mini_2.mp4,,show that
2p0_3mini_2.mp4,,do different oh no there
2p0_3mini_2.mp4,,make it
2p0_3mini_2.mp4,,check it out
2p0_3mini_2.mp4,,show as
2p0_3mini_2.mp4,,do that
7p1_3mini_4.mp4,,took a square dollar tree bin one of the really big ones
7p1_3mini_4.mp4,,lay it flat
7p1_3mini_4.mp4,,hope guys
7p1_3mini_4.mp4,goes like a file system into your deep freezer,
7p1_3mini_4.mp4,add things like cilantro,
7p1_3mini_4.mp4,frozen,
7p1_3mini_4.mp4,goes into four different ziploc bags which,
7p1_3mini_4.mp4,,got the chicken quinoa
7p1_3mini_4.mp4,,hear in the background oh
7p1_3mini_4.mp4,,find what we
7p1_3mini_4.mp4,leave it a thumbs up,
3mini_5.mp4,,take him on a walk
3mini_5.mp4,,smile when
3mini_5.mp4,,look at him
3mini_5.mp4,,getting outside for the first time
3mini_5.mp4,get in the car,
3mini_5.mp4,,head to our favorite place
6p1_3mini_1.mp4,get out of bed,
6p1_3mini_1.mp4,,head straight to the couch the first thing that
6p1_3mini_1.mp4,,looking at my phone in the morning anymore
6p1_3mini_1.mp4,mix my coffee with a little bit of soy milk,
6p1_3mini_1.mp4,,stay asleep which
6p1_3mini_1.mp4,,give it a thumbs up
6p1_3mini_1.mp4,,use the black coffee pods
8p1_3mini_4.mp4,,cooled pasta into a bowl
8p1_3mini_4.mp4,put mixed nuts,
8p1_3mini_4.mp4,,add a bunch of veggies
8p1_3mini_4.mp4,dried apricots,
8p1_3mini_4.mp4,,added some dates which
8p1_3mini_4.mp4,make it a little bit healthier,
8p1_3mini_4.mp4,,sliced in half
8p1_3mini_4.mp4,,using for these lunches
8p1_3mini_4.mp4,,found them on amazon for around
8p1_3mini_4.mp4,,come with a spork which
8p1_3mini_4.mp4,,use brown rice or quinoa pasta
8p1_3mini_4.mp4,,eat it every single day sometimes twice a day
8p1_3mini_4.mp4,,give it some added protein
8p1_3mini_4.mp4,,put the
10p1_3mini_1.mp4,,do during the week or on the weekend when
10p1_3mini_1.mp4,,has about grams of protein that
10p1_3mini_1.mp4,show,
10p1_3mini_1.mp4,,get one that
10p1_3mini_1.mp4,,mix mine this
10p1_3mini_1.mp4,,heard of it
10p1_3mini_1.mp4,,add mine with a whole banana
7mini_31.mp4,,check my social media
7mini_31.mp4,,answer to guys
7mini_31.mp4,,let me
7mini_31.mp4,,make it at home
7mini_31.mp4,,put the jar lid on
7mini_31.mp4,,take it with to school or work
10p1_3mini_1.mp4,,has sugar already
10p1_3mini_1.mp4,,snacking on any of those junk foods that people
10p1_3mini_1.mp4,,do my first breakfast option here
10p1_3mini_1.mp4,,keep full hopefully into lunch time
10p1_3mini_1.mp4,control it,
10p1_3mini_1.mp4,,add your sugar
5p0_3mini_7.mp4,,made with coconut milk it
5p0_3mini_7.mp4,,eat in a daze if
5p0_3mini_7.mp4,eat one,
5p0_3mini_7.mp4,,click the
5p0_3mini_7.mp4,,check out some more what
5p0_3mini_7.mp4,ended up,
5p0_3mini_7.mp4,,eating the whole bar
5p0_3mini_7.mp4,,finish off my friday night
5p0_3mini_7.mp4,,see next sunday bye
5p0_3mini_7.mp4,,making this recipe
5p0_3mini_7.mp4,,eats for the day
5p0_3mini_7.mp4,,get some extra veggies
5p0_3mini_7.mp4,,tasted incredible this
5p0_3mini_7.mp4,,stop myself from
9p0_3mini_5.mp4,freaked her out brooks,
9p0_3mini_5.mp4,offer him a lot of variety in the end the goal,
9p0_3mini_5.mp4,,pique her interest
9p0_3mini_5.mp4,,get together a few friends
9p0_3mini_5.mp4,,come to terms with that another day another peanut butter
9p0_3mini_5.mp4,support it,
9p0_3mini_5.mp4,,making lunch
7mini_36.mp4,,paint my nails every weekend morning
7mini_36.mp4,,filming later that day
7mini_36.mp4,and,
7mini_36.mp4,,listen to some music
7mini_36.mp4,paint my nails,
7mini_36.mp4,went for this purple shade on all the nails except my ring finger,
5p0_3mini_5.mp4,,steamed it in the microwave like
5p0_3mini_5.mp4,added some kind of like pizza ingredients,
5p0_3mini_5.mp4,picked up a huge sweet potato from the store on my way home,
5p0_3mini_5.mp4,got some of this tomato basil kinda like a marinara sauce,
5p0_3mini_5.mp4,,took out the
5p0_3mini_5.mp4,,mashed the
5p0_3mini_5.mp4,,make a big potato
2p0_3mini_1.mp4,,tasked me with
2p0_3mini_1.mp4,,doing something a little different this morning we
2p0_3mini_1.mp4,,do since
2p0_3mini_1.mp4,,watching this
2p0_3mini_1.mp4,,eat more
2p0_3mini_1.mp4,,do my parents for breakfast or brunch
2p0_3mini_1.mp4,,bringing a frittata
2p0_3mini_1.mp4,,exchanged gifts with each other
2p0_3mini_1.mp4,make a tofu quiche,
2p0_3mini_1.mp4,,hope that
2p0_3mini_1.mp4,celebrate anything else during the holiday,
2p0_3mini_1.mp4,,celebrate if
2p0_3mini_1.mp4,,bring a option to the meal
2p0_3mini_1.mp4,,hope
9p0_3mini_2.mp4,stay warm for a very long time,
9p0_3mini_2.mp4,comes with four slots,
9p0_3mini_2.mp4,warm them up,
9p0_3mini_2.mp4,making sandwiches,
9p0_3mini_2.mp4,giving specific compartments now there,
9p0_3mini_2.mp4,pour a little bit of hot water in them,
9p0_3mini_2.mp4,,sporks they
7mini_26.mp4,,baking sheet
7mini_26.mp4,,flat the mixture down with a spatula
7mini_26.mp4,,making sure
7mini_26.mp4,,place them in the oven preheated at around fahrenheit or degrees celsius
9p0_3mini_2.mp4,,make sure that they
9p0_3mini_2.mp4,,use when
9p0_3mini_2.mp4,organize your supplies if,
9p0_3mini_2.mp4,pack your kids lunches by,
9p0_3mini_2.mp4,set aside a drawer in your kitchen,
9p0_3mini_2.mp4,,moving on to the main component really
9p0_3mini_2.mp4,,put your warm pasta in there
6p0_3mini_4.mp4,,pop that on to the store for another few minutes anyway from to minutes
6p0_3mini_4.mp4,,speed up the cooking time though
6p0_3mini_4.mp4,,works too
6p0_3mini_4.mp4,,chopped whole almonds
6p0_3mini_4.mp4,,serve it in a ball
6p0_3mini_4.mp4,,add extra sweet another it
6p0_3mini_4.mp4,top it with tablespoon of unsweetened almond butter,
6p0_3mini_4.mp4,,fall in the ode the sweeter the earth
6p0_3mini_4.mp4,,depends on how much of a sweet tooth
6p0_3mini_4.mp4,,use the one of the other others some nut butter or some raw almonds
6p0_3mini_4.mp4,depends what kind of mood,
6p0_3mini_4.mp4,cook the apples,
6p0_3mini_4.mp4,,add the apple foods a lot sooner that
4p1_3mini_17.mp4,get them from walmart from amazon anywhere,
4p1_3mini_17.mp4,,tear into
4p1_3mini_17.mp4,,searching for
4p1_3mini_17.mp4,grab it,
4p1_3mini_17.mp4,,link them down below
4p1_3mini_17.mp4,,got this picture
4p1_3mini_17.mp4,,pick them up for pretty inexpensive
6mini_17.mp4,,understand whether it
6mini_17.mp4,,growing in my tub
6mini_17.mp4,,followed me
6mini_17.mp4,,get in the tub
6mini_17.mp4,,drink a bunch of water
4p1_3mini_17.mp4,,found some
4p1_3mini_17.mp4,,seen these all over
4p1_3mini_17.mp4,moving back into the living room,
4p1_3mini_17.mp4,got a couple bunches of flowers from the dollar tree,
4p1_3mini_17.mp4,,saw it at smith the other day on sale
