HIT_nb,Video_name,Actions,Worker_1,Worker_2,Worker_3,Worker_GT
3FI30CQHVJI8OGF3MF816MJUN55B6Z,3mini_5.mp4,take him on a walk you just,0,1,0,0
3FI30CQHVJI8OGF3MF816MJUN55B6Z,3mini_5.mp4,smile when you,1,1,0,1
3FI30CQHVJI8OGF3MF816MJUN55B6Z,3mini_5.mp4,look at him,1,1,0,1
3FI30CQHVJI8OGF3MF816MJUN55B6Z,3mini_5.mp4,getting outside for the first time,0,1,0,1
3FI30CQHVJI8OGF3MF816MJUN55B6Z,3mini_5.mp4,get in the car,0,0,0,0
3FI30CQHVJI8OGF3MF816MJUN55B6Z,3mini_5.mp4,head to our favorite place,0,1,0,0
3UYRNV2KISYXT3NOIKA8HVFFAP98N7,7mini_29.mp4,topping mine with some cream cheese and sliced avocado,0,0,0,0
3UYRNV2KISYXT3NOIKA8HVFFAP98N7,7mini_29.mp4,making myself a berry and granola yogurt,0,0,0,0
3UYRNV2KISYXT3NOIKA8HVFFAP98N7,7mini_29.mp4,add some delicious blueberries,0,0,0,0
3UYRNV2KISYXT3NOIKA8HVFFAP98N7,7mini_29.mp4,pour in my favorite granola,0,0,0,0
3UYRNV2KISYXT3NOIKA8HVFFAP98N7,7mini_29.mp4,"Add another layer of yogurt , and top the healthy mix with yummy strawberries",0,0,0,0
3M4KL7H8KUM7BIXBKIFC0A6L1TE61B,7mini_31.mp4,check my social media,1,0,0,1
3M4KL7H8KUM7BIXBKIFC0A6L1TE61B,7mini_31.mp4,answer to you guys,1,1,0,1
3M4KL7H8KUM7BIXBKIFC0A6L1TE61B,7mini_31.mp4,Let me just,2,1,0,1
3M4KL7H8KUM7BIXBKIFC0A6L1TE61B,7mini_31.mp4,make it at home,1,0,0,1
3M4KL7H8KUM7BIXBKIFC0A6L1TE61B,7mini_31.mp4,put the jar lid on,1,0,0,1
3M4KL7H8KUM7BIXBKIFC0A6L1TE61B,7mini_31.mp4,take it with you to school or work,1,1,0,1
3ZQX1VYFTC4FBON0JZALWKFK0ZE8OM,7mini_36.mp4,paint my nails every weekend morning,1,1,0,0
3ZQX1VYFTC4FBON0JZALWKFK0ZE8OM,7mini_36.mp4,filming later that day,1,1,0,1
3ZQX1VYFTC4FBON0JZALWKFK0ZE8OM,7mini_36.mp4,", and",2,0,0,1
3ZQX1VYFTC4FBON0JZALWKFK0ZE8OM,7mini_36.mp4,listen to some music,1,1,0,1
3ZQX1VYFTC4FBON0JZALWKFK0ZE8OM,7mini_36.mp4,paint my nails,0,1,0,0
3ZQX1VYFTC4FBON0JZALWKFK0ZE8OM,7mini_36.mp4,went for this purple shade on all the nails except my ring finger,0,0,0,0
38EHZ67RILR64086PH7WWT7DTICGMV,1mini_8.mp4,make these,0,0,1,1
38EHZ67RILR64086PH7WWT7DTICGMV,1mini_8.mp4,offer it to him if he,0,0,1,1
38EHZ67RILR64086PH7WWT7DTICGMV,1mini_8.mp4,asks me for a snack if he,0,0,2,1
38EHZ67RILR64086PH7WWT7DTICGMV,1mini_8.mp4,finish it all I,0,0,1,1
38EHZ67RILR64086PH7WWT7DTICGMV,1mini_8.mp4,put it back in the refrigerator,0,0,0,1
38EHZ67RILR64086PH7WWT7DTICGMV,1mini_8.mp4,go on hand,0,0,1,1
35NNO802AUVQI9Z1R6MZUK9TDLEINP,1mini_15.mp4,strain the seeds,0,1,0,1
35NNO802AUVQI9Z1R6MZUK9TDLEINP,1mini_15.mp4,looking back that,0,2,1,1
35NNO802AUVQI9Z1R6MZUK9TDLEINP,1mini_15.mp4,do if I ever,0,2,0,1
35NNO802AUVQI9Z1R6MZUK9TDLEINP,1mini_15.mp4,make this again in the future which I,0,2,0,1
3ICOHX7ENBABH858UHUAYTFODZW0EN,2mini_21.mp4,has a channel too in case you,0,0,2,1
3ICOHX7ENBABH858UHUAYTFODZW0EN,2mini_21.mp4,seen his,0,0,2,1
3ICOHX7ENBABH858UHUAYTFODZW0EN,2mini_21.mp4,so check his out I just,0,0,2,1
3ICOHX7ENBABH858UHUAYTFODZW0EN,2mini_21.mp4,give him a little shout out Byron Talbott,0,0,2,1
3ICOHX7ENBABH858UHUAYTFODZW0EN,2mini_21.mp4,see you guys very soon,0,0,2,1
307L9TDWJXRBS6HI63FCQE74U3H3NA,6mini_2.mp4,make sure your skin,0,0,2,1
307L9TDWJXRBS6HI63FCQE74U3H3NA,6mini_2.mp4,cleansed before you,0,0,0,0
307L9TDWJXRBS6HI63FCQE74U3H3NA,6mini_2.mp4,do all that,0,0,0,1
307L9TDWJXRBS6HI63FCQE74U3H3NA,6mini_2.mp4,absorbing all that serum when there,0,0,0,1
307L9TDWJXRBS6HI63FCQE74U3H3NA,6mini_2.mp4,move on,0,0,1,1
3YKP7CX6G1ERSGT85PDTC0JQIGPB7Y,7mini_26.mp4,baking sheet,2,1,2,1
3YKP7CX6G1ERSGT85PDTC0JQIGPB7Y,7mini_26.mp4,Flat the mixture down with a spatula,2,1,1,0
