HITId,HITTypeId,Title,Description,Keywords,Reward,CreationTime,MaxAssignments,RequesterAnnotation,AssignmentDurationInSeconds,AutoApprovalDelayInSeconds,Expiration,NumberOfSimilarHITs,LifetimeInSeconds,AssignmentId,WorkerId,AssignmentStatus,AcceptTime,SubmitTime,AutoApprovalTime,ApprovalTime,RejectionTime,RequesterFeedback,WorkTimeInSeconds,LifetimeApprovalRate,Last30DaysApprovalRate,Last7DaysApprovalRate,Input.video_url1,Input.actions1,Input.video_url2,Input.actions2,Input.video_url3,Input.actions3,Input.video_url4,Input.actions4,Input.video_url5,Input.actions5,Answer.WritingTexts,Answer.name_0_0,Answer.name_0_1,Answer.name_0_2,Answer.name_0_3,Answer.name_0_4,Answer.name_0_5,Answer.name_0_6,Answer.name_1_0,Answer.name_1_1,Answer.name_1_2,Answer.name_1_3,Answer.name_1_4,Answer.name_1_5,Answer.name_1_6,Answer.name_2_0,Answer.name_2_1,Answer.name_2_2,Answer.name_2_3,Answer.name_2_4,Answer.name_2_5,Answer.name_2_6,Answer.name_3_0,Answer.name_3_1,Answer.name_3_2,Answer.name_3_3,Answer.name_3_4,Answer.name_3_5,Answer.name_3_6,Answer.name_4_0,Answer.name_4_1,Answer.name_4_2,Answer.name_4_3,Answer.name_4_4,Answer.name_4_5,Answer.name_4_6,Approve,Reject
3FI30CQHVJI8OGF3MF816MJUN55B6Z,3T1XT3I8SW315KR7GZNEDDFI38YH6D,Identify actions in videos,Identify which actions are visible in a video,"actions, videos",$0.40,Wed Sep 19 06:00:02 PDT 2018,3,BatchId:3375794;OriginalHitTemplateId:920937340;,1800,2592000,Fri Oct 19 06:00:02 PDT 2018,,,3G5F9DBFOPW5H3VJDHV7T9YCDHEVH4,A2FNZFG5WTVEGM,Submitted,Wed Sep 19 06:08:58 PDT 2018,Wed Sep 19 06:21:21 PDT 2018,Fri Oct 19 06:21:21 PDT 2018,,,,743,0% (0/0),0% (0/0),0% (0/0),2p0_3mini_2.mp4,taste good;taste even more egg like;making it;add to the egg tofu mixture too;see how good plant-based food;see the recipe that I;go super easy simple recipes,2p0_3mini_2.mp4,has you roast a lot of stuff a lot of the vegetables in the oven;show you that;do different oh no there;make it;check it out;show you as I;do that,7p1_3mini_4.mp4,took a square dollar tree bin one of the really big ones;lay it flat;hope you guys;goes like a file system into your deep freezer;add things like cilantro;frozen I just;goes into four different Ziploc bags which,7p1_3mini_4.mp4,got the chicken quinoa;hear in the background Oh;find what we;leave it a thumbs up,3mini_5.mp4,take him on a walk you just;smile when you;look at him;getting outside for the first time;get in the car;head to our favorite place,A very different survey that I ever took but its somewhat difficult to analyse and need a careful attention of video,val_0_0_1,val_0_1_1,val_0_2_0,val_0_3_1,val_0_4_1,val_0_5_0,val_0_6_0,val_1_0_1,val_1_1_0,val_1_2_1,val_1_3_1,val_1_4_0,val_1_5_0,val_1_6_2,val_2_0_1,val_2_1_1,val_2_2_0,val_2_3_0,val_2_4_0,val_2_5_0,val_2_6_0,val_3_0_1,val_3_1_0,val_3_2_0,val_3_3_0,,,,val_4_0_0,val_4_1_1,val_4_2_1,val_4_3_0,val_4_4_0,val_4_5_0,,x,
3FI30CQHVJI8OGF3MF816MJUN55B6Z,3T1XT3I8SW315KR7GZNEDDFI38YH6D,Identify actions in videos,Identify which actions are visible in a video,"actions, videos",$0.40,Wed Sep 19 06:00:02 PDT 2018,3,BatchId:3375794;OriginalHitTemplateId:920937340;,1800,2592000,Fri Oct 19 06:00:02 PDT 2018,,,3Q5ZZ9ZEVOEVQYFB4MJOCYBEXAN58T,A1OSRAPSRT934Z,Submitted,Wed Sep 19 06:02:23 PDT 2018,Wed Sep 19 06:06:58 PDT 2018,Fri Oct 19 06:06:58 PDT 2018,,,,275,0% (0/0),0% (0/0),0% (0/0),2p0_3mini_2.mp4,taste good;taste even more egg like;making it;add to the egg tofu mixture too;see how good plant-based food;see the recipe that I;go super easy simple recipes,2p0_3mini_2.mp4,has you roast a lot of stuff a lot of the vegetables in the oven;show you that;do different oh no there;make it;check it out;show you as I;do that,7p1_3mini_4.mp4,took a square dollar tree bin one of the really big ones;lay it flat;hope you guys;goes like a file system into your deep freezer;add things like cilantro;frozen I just;goes into four different Ziploc bags which,7p1_3mini_4.mp4,got the chicken quinoa;hear in the background Oh;find what we;leave it a thumbs up,3mini_5.mp4,take him on a walk you just;smile when you;look at him;getting outside for the first time;get in the car;head to our favorite place,{},val_0_0_2,val_0_1_2,val_0_2_1,val_0_3_1,val_0_4_1,val_0_5_1,val_0_6_2,val_1_0_1,val_1_1_1,val_1_2_2,val_1_3_1,val_1_4_1,val_1_5_1,val_1_6_1,val_2_0_1,val_2_1_0,val_2_2_2,val_2_3_0,val_2_4_0,val_2_5_0,val_2_6_0,val_3_0_0,val_3_1_1,val_3_2_2,val_3_3_0,,,,val_4_0_1,val_4_1_1,val_4_2_1,val_4_3_1,val_4_4_0,val_4_5_1,,x,
3FI30CQHVJI8OGF3MF816MJUN55B6Z,3T1XT3I8SW315KR7GZNEDDFI38YH6D,Identify actions in videos,Identify which actions are visible in a video,"actions, videos",$0.40,Wed Sep 19 06:00:02 PDT 2018,3,BatchId:3375794;OriginalHitTemplateId:920937340;,1800,2592000,Fri Oct 19 06:00:02 PDT 2018,,,3SITXWYCNV8NUFXSD4MTVJSZYFHXBT,A1SGEZCI0RZKH8,Submitted,Wed Sep 19 06:02:38 PDT 2018,Wed Sep 19 06:13:07 PDT 2018,Fri Oct 19 06:13:07 PDT 2018,,,,629,0% (0/0),0% (0/0),0% (0/0),2p0_3mini_2.mp4,taste good;taste even more egg like;making it;add to the egg tofu mixture too;see how good plant-based food;see the recipe that I;go super easy simple recipes,2p0_3mini_2.mp4,has you roast a lot of stuff a lot of the vegetables in the oven;show you that;do different oh no there;make it;check it out;show you as I;do that,7p1_3mini_4.mp4,took a square dollar tree bin one of the really big ones;lay it flat;hope you guys;goes like a file system into your deep freezer;add things like cilantro;frozen I just;goes into four different Ziploc bags which,7p1_3mini_4.mp4,got the chicken quinoa;hear in the background Oh;find what we;leave it a thumbs up,3mini_5.mp4,take him on a walk you just;smile when you;look at him;getting outside for the first time;get in the car;head to our favorite place,GOOD,val_0_0_0,val_0_1_0,val_0_2_0,val_0_3_0,val_0_4_0,val_0_5_0,val_0_6_0,val_1_0_0,val_1_1_0,val_1_2_0,val_1_3_0,val_1_4_0,val_1_5_0,val_1_6_0,val_2_0_0,val_2_1_0,val_2_2_0,val_2_3_0,val_2_4_0,val_2_5_0,val_2_6_0,val_3_0_0,val_3_1_0,val_3_2_0,val_3_3_0,,,,val_4_0_0,val_4_1_0,val_4_2_0,val_4_3_0,val_4_4_0,val_4_5_0,,,spammer
3UYRNV2KISYXT3NOIKA8HVFFAP98N7,3T1XT3I8SW315KR7GZNEDDFI38YH6D,Identify actions in videos,Identify which actions are visible in a video,"actions, videos",$0.40,Wed Sep 19 06:00:02 PDT 2018,3,BatchId:3375794;OriginalHitTemplateId:920937340;,1800,2592000,Fri Oct 19 06:00:02 PDT 2018,,,3HFNH7HEMHDZCZ4R7CJF2MN3HPNGQX,A1AW1BPTKPDUHG,Submitted,Wed Sep 19 06:19:03 PDT 2018,Wed Sep 19 06:32:31 PDT 2018,Fri Oct 19 06:32:31 PDT 2018,,,,808,0% (0/0),0% (0/0),0% (0/0),7p1_3mini_2.mp4,put in soon;makes it;chopped up all of my veggies for all of the recipes;see exactly what I;boil it for fajitas;whisked my sauce for my Thai peanut recipe;go I,7p1_3mini_2.mp4,shredding it;spent just 80 dollars at the grocery store that;open up all the cans everything;start the chicken I always;lying out all of the pans;dressing mix this;browning everything,8p0_3mini_5.mp4,keeping your floors clean;refreshed I always or if you;thank you that;see you in the next video I;catch you there;joke that I;leave me a comment down below which of these products or your favorite,6p1_3mini_1.mp4,make myself a coffee I;giving you an overview of my current morning routine;do every single day;comes into my room in the morning which I seriously;do most days of the week they;sharing with you all of the things that I;go straight out,7mini_29.mp4,"topping mine with some cream cheese and sliced avocado;making myself a berry and granola yogurt;add some delicious blueberries;pour in my favorite granola;Add another layer of yogurt , and top the healthy mix with yummy strawberries",{},val_0_0_0,val_0_1_0,val_0_2_0,val_0_3_0,val_0_4_0,val_0_5_0,val_0_6_0,val_1_0_0,val_1_1_0,val_1_2_0,val_1_3_0,val_1_4_0,val_1_5_0,val_1_6_0,val_2_0_0,val_2_1_0,val_2_2_0,val_2_3_0,val_2_4_0,val_2_5_0,val_2_6_0,val_3_0_0,val_3_1_0,val_3_2_0,val_3_3_0,val_3_4_0,val_3_5_0,val_3_6_0,val_4_0_0,val_4_1_0,val_4_2_0,val_4_3_0,val_4_4_0,,,,spammer
3UYRNV2KISYXT3NOIKA8HVFFAP98N7,3T1XT3I8SW315KR7GZNEDDFI38YH6D,Identify actions in videos,Identify which actions are visible in a video,"actions, videos",$0.40,Wed Sep 19 06:00:02 PDT 2018,3,BatchId:3375794;OriginalHitTemplateId:920937340;,1800,2592000,Fri Oct 19 06:00:02 PDT 2018,,,3KOPY89HM81HW0OQH7SMMRM8ZPQ3JL,A2ZZQRS2R9QVY0,Submitted,Wed Sep 19 06:08:36 PDT 2018,Wed Sep 19 06:10:48 PDT 2018,Fri Oct 19 06:10:48 PDT 2018,,,,132,0% (0/0),0% (0/0),0% (0/0),7p1_3mini_2.mp4,put in soon;makes it;chopped up all of my veggies for all of the recipes;see exactly what I;boil it for fajitas;whisked my sauce for my Thai peanut recipe;go I,7p1_3mini_2.mp4,shredding it;spent just 80 dollars at the grocery store that;open up all the cans everything;start the chicken I always;lying out all of the pans;dressing mix this;browning everything,8p0_3mini_5.mp4,keeping your floors clean;refreshed I always or if you;thank you that;see you in the next video I;catch you there;joke that I;leave me a comment down below which of these products or your favorite,6p1_3mini_1.mp4,make myself a coffee I;giving you an overview of my current morning routine;do every single day;comes into my room in the morning which I seriously;do most days of the week they;sharing with you all of the things that I;go straight out,7mini_29.mp4,"topping mine with some cream cheese and sliced avocado;making myself a berry and granola yogurt;add some delicious blueberries;pour in my favorite granola;Add another layer of yogurt , and top the healthy mix with yummy strawberries",{},val_0_0_0,val_0_1_0,val_0_2_0,val_0_3_0,val_0_4_0,val_0_5_0,val_0_6_0,val_1_0_0,val_1_1_0,val_1_2_0,val_1_3_0,val_1_4_0,val_1_5_0,val_1_6_0,val_2_0_0,val_2_1_0,val_2_2_0,val_2_3_0,val_2_4_0,val_2_5_0,val_2_6_0,val_3_0_0,val_3_1_0,val_3_2_0,val_3_3_0,val_3_4_0,val_3_5_0,val_3_6_0,val_4_0_0,val_4_1_0,val_4_2_0,val_4_3_0,val_4_4_0,,,,spammer
3UYRNV2KISYXT3NOIKA8HVFFAP98N7,3T1XT3I8SW315KR7GZNEDDFI38YH6D,Identify actions in videos,Identify which actions are visible in a video,"actions, videos",$0.40,Wed Sep 19 06:00:02 PDT 2018,3,BatchId:3375794;OriginalHitTemplateId:920937340;,1800,2592000,Fri Oct 19 06:00:02 PDT 2018,,,3QL2OFSM96H1SQBUPYVF817JEM8CNW,A1XMTO1NDPOUJ0,Submitted,Wed Sep 19 06:41:21 PDT 2018,Wed Sep 19 06:47:43 PDT 2018,Fri Oct 19 06:47:43 PDT 2018,,,,382,100% (1/1),100% (1/1),100% (1/1),7p1_3mini_2.mp4,put in soon;makes it;chopped up all of my veggies for all of the recipes;see exactly what I;boil it for fajitas;whisked my sauce for my Thai peanut recipe;go I,7p1_3mini_2.mp4,shredding it;spent just 80 dollars at the grocery store that;open up all the cans everything;start the chicken I always;lying out all of the pans;dressing mix this;browning everything,8p0_3mini_5.mp4,keeping your floors clean;refreshed I always or if you;thank you that;see you in the next video I;catch you there;joke that I;leave me a comment down below which of these products or your favorite,6p1_3mini_1.mp4,make myself a coffee I;giving you an overview of my current morning routine;do every single day;comes into my room in the morning which I seriously;do most days of the week they;sharing with you all of the things that I;go straight out,7mini_29.mp4,"topping mine with some cream cheese and sliced avocado;making myself a berry and granola yogurt;add some delicious blueberries;pour in my favorite granola;Add another layer of yogurt , and top the healthy mix with yummy strawberries",{},val_0_0_2,val_0_1_0,val_0_2_0,val_0_3_2,val_0_4_2,val_0_5_1,val_0_6_2,val_1_0_1,val_1_1_1,val_1_2_0,val_1_3_0,val_1_4_0,val_1_5_2,val_1_6_1,val_2_0_0,val_2_1_2,val_2_2_2,val_2_3_2,val_2_4_2,val_2_5_2,val_2_6_2,val_3_0_0,val_3_1_0,val_3_2_2,val_3_3_2,val_3_4_2,val_3_5_2,val_3_6_2,val_4_0_0,val_4_1_0,val_4_2_0,val_4_3_0,val_4_4_0,,,x,
3M4KL7H8KUM7BIXBKIFC0A6L1TE61B,3T1XT3I8SW315KR7GZNEDDFI38YH6D,Identify actions in videos,Identify which actions are visible in a video,"actions, videos",$0.40,Wed Sep 19 06:00:02 PDT 2018,3,BatchId:3375794;OriginalHitTemplateId:920937340;,1800,2592000,Fri Oct 19 06:00:02 PDT 2018,,,3K2755HG5S2Z9Q4RR67DK2GSXVYDFQ,A3AY0315YWWNXY,Submitted,Wed Sep 19 06:09:01 PDT 2018,Wed Sep 19 06:14:16 PDT 2018,Fri Oct 19 06:14:16 PDT 2018,,,,315,0% (0/0),0% (0/0),0% (0/0),6p1_3mini_1.mp4,get out of bed;head straight to the couch the first thing that I;looking at my phone in the morning anymore;mix my coffee with a little bit of soy milk;stay asleep which;give it a thumbs up;use the black coffee pods I,8p1_3mini_4.mp4,cooled pasta into a bowl;put mixed nuts;add a bunch of veggies;dried apricots;added some dates which;make it a little bit healthier;sliced in half,8p1_3mini_4.mp4,using for these lunches I;found them on Amazon for around 10;come with a spork which;use brown rice or quinoa pasta just;eat it every single day sometimes twice a day;give it some added protein;put the,10p1_3mini_1.mp4,do during the week or on the weekend when you;has about 17 grams of protein that;show you;get one that;mix mine this;heard of it;add mine with a whole banana,7mini_31.mp4,check my social media;answer to you guys;Let me just;make it at home;put the jar lid on;take it with you to school or work,{},val_0_0_0,val_0_1_0,val_0_2_1,val_0_3_0,val_0_4_1,val_0_5_1,val_0_6_0,val_1_0_0,val_1_1_0,val_1_2_0,val_1_3_0,val_1_4_0,val_1_5_0,val_1_6_0,val_2_0_2,val_2_1_2,val_2_2_2,val_2_3_1,val_2_4_1,val_2_5_1,val_2_6_2,val_3_0_2,val_3_1_2,val_3_2_0,val_3_3_2,val_3_4_2,val_3_5_2,val_3_6_1,val_4_0_1,val_4_1_1,val_4_2_2,val_4_3_1,val_4_4_1,val_4_5_1,,x,
3M4KL7H8KUM7BIXBKIFC0A6L1TE61B,3T1XT3I8SW315KR7GZNEDDFI38YH6D,Identify actions in videos,Identify which actions are visible in a video,"actions, videos",$0.40,Wed Sep 19 06:00:02 PDT 2018,3,BatchId:3375794;OriginalHitTemplateId:920937340;,1800,2592000,Fri Oct 19 06:00:02 PDT 2018,,,3OXV7EAXLEP5859JXOYXDNH3DJ663I,A3CA7SCTM4H9IO,Submitted,Wed Sep 19 06:09:01 PDT 2018,Wed Sep 19 06:14:52 PDT 2018,Fri Oct 19 06:14:52 PDT 2018,,,,351,25% (2/8),0% (0/0),0% (0/0),6p1_3mini_1.mp4,get out of bed;head straight to the couch the first thing that I;looking at my phone in the morning anymore;mix my coffee with a little bit of soy milk;stay asleep which;give it a thumbs up;use the black coffee pods I,8p1_3mini_4.mp4,cooled pasta into a bowl;put mixed nuts;add a bunch of veggies;dried apricots;added some dates which;make it a little bit healthier;sliced in half,8p1_3mini_4.mp4,using for these lunches I;found them on Amazon for around 10;come with a spork which;use brown rice or quinoa pasta just;eat it every single day sometimes twice a day;give it some added protein;put the,10p1_3mini_1.mp4,do during the week or on the weekend when you;has about 17 grams of protein that;show you;get one that;mix mine this;heard of it;add mine with a whole banana,7mini_31.mp4,check my social media;answer to you guys;Let me just;make it at home;put the jar lid on;take it with you to school or work,{},val_0_0_0,val_0_1_1,val_0_2_1,val_0_3_0,val_0_4_1,val_0_5_1,val_0_6_1,val_1_0_1,val_1_1_0,val_1_2_1,val_1_3_0,val_1_4_1,val_1_5_0,val_1_6_1,val_2_0_0,val_2_1_0,val_2_2_0,val_2_3_1,val_2_4_0,val_2_5_0,val_2_6_0,val_3_0_0,val_3_1_0,val_3_2_0,val_3_3_0,val_3_4_0,val_3_5_0,val_3_6_1,val_4_0_0,val_4_1_1,val_4_2_1,val_4_3_0,val_4_4_0,val_4_5_1,,x,
3M4KL7H8KUM7BIXBKIFC0A6L1TE61B,3T1XT3I8SW315KR7GZNEDDFI38YH6D,Identify actions in videos,Identify which actions are visible in a video,"actions, videos",$0.40,Wed Sep 19 06:00:02 PDT 2018,3,BatchId:3375794;OriginalHitTemplateId:920937340;,1800,2592000,Fri Oct 19 06:00:02 PDT 2018,,,3RKNTXVS3MXRD34QNFKS3XBVN2SA4X,A1AW1BPTKPDUHG,Submitted,Wed Sep 19 06:33:37 PDT 2018,Wed Sep 19 07:01:41 PDT 2018,Fri Oct 19 07:01:41 PDT 2018,,,,1684,0% (0/0),0% (0/0),0% (0/0),6p1_3mini_1.mp4,get out of bed;head straight to the couch the first thing that I;looking at my phone in the morning anymore;mix my coffee with a little bit of soy milk;stay asleep which;give it a thumbs up;use the black coffee pods I,8p1_3mini_4.mp4,cooled pasta into a bowl;put mixed nuts;add a bunch of veggies;dried apricots;added some dates which;make it a little bit healthier;sliced in half,8p1_3mini_4.mp4,using for these lunches I;found them on Amazon for around 10;come with a spork which;use brown rice or quinoa pasta just;eat it every single day sometimes twice a day;give it some added protein;put the,10p1_3mini_1.mp4,do during the week or on the weekend when you;has about 17 grams of protein that;show you;get one that;mix mine this;heard of it;add mine with a whole banana,7mini_31.mp4,check my social media;answer to you guys;Let me just;make it at home;put the jar lid on;take it with you to school or work,{},val_0_0_0,val_0_1_0,val_0_2_0,val_0_3_0,val_0_4_0,val_0_5_0,val_0_6_0,val_1_0_0,val_1_1_0,val_1_2_0,val_1_3_0,val_1_4_0,val_1_5_0,val_1_6_0,val_2_0_0,val_2_1_0,val_2_2_0,val_2_3_0,val_2_4_0,val_2_5_0,val_2_6_0,val_3_0_0,val_3_1_0,val_3_2_0,val_3_3_0,val_3_4_0,val_3_5_0,val_3_6_0,val_4_0_0,val_4_1_0,val_4_2_0,val_4_3_0,val_4_4_0,val_4_5_0,,,spammer
3ZQX1VYFTC4FBON0JZALWKFK0ZE8OM,3T1XT3I8SW315KR7GZNEDDFI38YH6D,Identify actions in videos,Identify which actions are visible in a video,"actions, videos",$0.40,Wed Sep 19 06:00:03 PDT 2018,3,BatchId:3375794;OriginalHitTemplateId:920937340;,1800,2592000,Fri Oct 19 06:00:03 PDT 2018,,,336YQZE83VDABNHFYNT7HGC9HFC5MH,AISNLDPD2DFEG,Submitted,Wed Sep 19 06:04:23 PDT 2018,Wed Sep 19 06:24:18 PDT 2018,Fri Oct 19 06:24:18 PDT 2018,,,,1195,100% (1/1),0% (0/0),0% (0/0),10p1_3mini_1.mp4,has sugar already you;snacking on any of those junk foods that people;do my first breakfast option here;keep you full hopefully into lunch time;control it;add your sugar,5p0_3mini_7.mp4,made with coconut milk it;eat in a daze if you;eat one;click the;check out some more what I;ended up just;eating the whole bar,5p0_3mini_7.mp4,finish off my friday night I;see you next Sunday bye;making this recipe I;eats for the day I;get some extra veggies;tasted incredible this;stop myself from,9p0_3mini_5.mp4,freaked her out Brooks;offer him a lot of variety in the end the goal;pique her interest;get together a few friends;come to terms with that another day another peanut butter;support it;making lunch,7mini_36.mp4,"paint my nails every weekend morning;filming later that day;, and;listen to some music;paint my nails;went for this purple shade on all the nails except my ring finger",{},val_0_0_2,val_0_1_2,val_0_2_2,val_0_3_2,val_0_4_1,val_0_5_1,,val_1_0_2,val_1_1_2,val_1_2_0,val_1_3_2,val_1_4_2,val_1_5_2,val_1_6_1,val_2_0_2,val_2_1_2,val_2_2_2,val_2_3_2,val_2_4_1,val_2_5_2,val_2_6_2,val_3_0_2,val_3_1_2,val_3_2_1,val_3_3_1,val_3_4_2,val_3_5_1,val_3_6_1,val_4_0_1,val_4_1_1,val_4_2_2,val_4_3_1,val_4_4_0,val_4_5_0,,x,
