HIT_nb,Video_name,Actions,Worker_1,Worker_2,Worker_3,All_Yes_actions,Majority_Yes_actions
3FI30CQHVJI8OGF3MF816MJUN55B6Z,2p0_3mini_2.mp4,taste good,1,2,0,,
3FI30CQHVJI8OGF3MF816MJUN55B6Z,2p0_3mini_2.mp4,taste even more egg like,1,2,0,,
3FI30CQHVJI8OGF3MF816MJUN55B6Z,2p0_3mini_2.mp4,making it,0,1,0,,making it
3FI30CQHVJI8OGF3MF816MJUN55B6Z,2p0_3mini_2.mp4,add to the egg tofu mixture too,1,1,0,,
3FI30CQHVJI8OGF3MF816MJUN55B6Z,2p0_3mini_2.mp4,see how good plant-based food,1,1,0,,
3FI30CQHVJI8OGF3MF816MJUN55B6Z,2p0_3mini_2.mp4,see the recipe that I,0,1,0,,see the recipe that I
3FI30CQHVJI8OGF3MF816MJUN55B6Z,2p0_3mini_2.mp4,go super easy simple recipes,0,2,0,,go super easy simple recipes
3FI30CQHVJI8OGF3MF816MJUN55B6Z,2p0_3mini_2.mp4,has you roast a lot of stuff a lot of the vegetables in the oven,1,1,0,,
3FI30CQHVJI8OGF3MF816MJUN55B6Z,2p0_3mini_2.mp4,show you that,0,1,0,,show you that
3FI30CQHVJI8OGF3MF816MJUN55B6Z,2p0_3mini_2.mp4,do different oh no there,1,2,0,,
3FI30CQHVJI8OGF3MF816MJUN55B6Z,2p0_3mini_2.mp4,make it,1,1,0,,
3FI30CQHVJI8OGF3MF816MJUN55B6Z,2p0_3mini_2.mp4,check it out,0,1,0,,check it out
3FI30CQHVJI8OGF3MF816MJUN55B6Z,2p0_3mini_2.mp4,show you as I,0,1,0,,show you as I
3FI30CQHVJI8OGF3MF816MJUN55B6Z,2p0_3mini_2.mp4,do that,2,1,0,,
3FI30CQHVJI8OGF3MF816MJUN55B6Z,7p1_3mini_4.mp4,took a square dollar tree bin one of the really big ones,1,1,0,,
3FI30CQHVJI8OGF3MF816MJUN55B6Z,7p1_3mini_4.mp4,lay it flat,1,0,0,,lay it flat
3FI30CQHVJI8OGF3MF816MJUN55B6Z,7p1_3mini_4.mp4,hope you guys,0,2,0,,hope you guys
3FI30CQHVJI8OGF3MF816MJUN55B6Z,7p1_3mini_4.mp4,goes like a file system into your deep freezer,0,0,0,goes like a file system into your deep freezer,goes like a file system into your deep freezer
3FI30CQHVJI8OGF3MF816MJUN55B6Z,7p1_3mini_4.mp4,add things like cilantro,0,0,0,add things like cilantro,add things like cilantro
3FI30CQHVJI8OGF3MF816MJUN55B6Z,7p1_3mini_4.mp4,frozen I just,0,0,0,frozen I just,frozen I just
3FI30CQHVJI8OGF3MF816MJUN55B6Z,7p1_3mini_4.mp4,goes into four different Ziploc bags which,0,0,0,goes into four different Ziploc bags which,goes into four different Ziploc bags which
3FI30CQHVJI8OGF3MF816MJUN55B6Z,7p1_3mini_4.mp4,got the chicken quinoa,1,0,0,,got the chicken quinoa
3FI30CQHVJI8OGF3MF816MJUN55B6Z,7p1_3mini_4.mp4,hear in the background Oh,0,1,0,,hear in the background Oh
3FI30CQHVJI8OGF3MF816MJUN55B6Z,7p1_3mini_4.mp4,find what we,0,2,0,,find what we
3FI30CQHVJI8OGF3MF816MJUN55B6Z,7p1_3mini_4.mp4,leave it a thumbs up,0,0,0,leave it a thumbs up,leave it a thumbs up
3FI30CQHVJI8OGF3MF816MJUN55B6Z,3mini_5.mp4,take him on a walk you just,0,1,0,,take him on a walk you just
3FI30CQHVJI8OGF3MF816MJUN55B6Z,3mini_5.mp4,smile when you,1,1,0,,
3FI30CQHVJI8OGF3MF816MJUN55B6Z,3mini_5.mp4,look at him,1,1,0,,
3FI30CQHVJI8OGF3MF816MJUN55B6Z,3mini_5.mp4,getting outside for the first time,0,1,0,,getting outside for the first time
3FI30CQHVJI8OGF3MF816MJUN55B6Z,3mini_5.mp4,get in the car,0,0,0,get in the car,get in the car
3FI30CQHVJI8OGF3MF816MJUN55B6Z,3mini_5.mp4,head to our favorite place,0,1,0,,head to our favorite place
3UYRNV2KISYXT3NOIKA8HVFFAP98N7,7p1_3mini_2.mp4,put in soon,0,0,2,,put in soon
3UYRNV2KISYXT3NOIKA8HVFFAP98N7,7p1_3mini_2.mp4,makes it,0,0,0,makes it,makes it
3UYRNV2KISYXT3NOIKA8HVFFAP98N7,7p1_3mini_2.mp4,chopped up all of my veggies for all of the recipes,0,0,0,chopped up all of my veggies for all of the recipes,chopped up all of my veggies for all of the recipes
3UYRNV2KISYXT3NOIKA8HVFFAP98N7,7p1_3mini_2.mp4,see exactly what I,0,0,2,,see exactly what I
3UYRNV2KISYXT3NOIKA8HVFFAP98N7,7p1_3mini_2.mp4,boil it for fajitas,0,0,2,,boil it for fajitas
3UYRNV2KISYXT3NOIKA8HVFFAP98N7,7p1_3mini_2.mp4,whisked my sauce for my Thai peanut recipe,0,0,1,,whisked my sauce for my Thai peanut recipe
3UYRNV2KISYXT3NOIKA8HVFFAP98N7,7p1_3mini_2.mp4,go I,0,0,2,,go I
3UYRNV2KISYXT3NOIKA8HVFFAP98N7,7p1_3mini_2.mp4,shredding it,0,0,1,,shredding it
3UYRNV2KISYXT3NOIKA8HVFFAP98N7,7p1_3mini_2.mp4,spent just 80 dollars at the grocery store that,0,0,1,,spent just 80 dollars at the grocery store that
3UYRNV2KISYXT3NOIKA8HVFFAP98N7,7p1_3mini_2.mp4,open up all the cans everything,0,0,0,open up all the cans everything,open up all the cans everything
3UYRNV2KISYXT3NOIKA8HVFFAP98N7,7p1_3mini_2.mp4,start the chicken I always,0,0,0,start the chicken I always,start the chicken I always
3UYRNV2KISYXT3NOIKA8HVFFAP98N7,7p1_3mini_2.mp4,lying out all of the pans,0,0,0,lying out all of the pans,lying out all of the pans
3UYRNV2KISYXT3NOIKA8HVFFAP98N7,7p1_3mini_2.mp4,dressing mix this,0,0,2,,dressing mix this
3UYRNV2KISYXT3NOIKA8HVFFAP98N7,7p1_3mini_2.mp4,browning everything,0,0,1,,browning everything
3UYRNV2KISYXT3NOIKA8HVFFAP98N7,8p0_3mini_5.mp4,keeping your floors clean,0,0,0,keeping your floors clean,keeping your floors clean
3UYRNV2KISYXT3NOIKA8HVFFAP98N7,8p0_3mini_5.mp4,refreshed I always or if you,0,0,2,,refreshed I always or if you
3UYRNV2KISYXT3NOIKA8HVFFAP98N7,8p0_3mini_5.mp4,thank you that,0,0,2,,thank you that
3UYRNV2KISYXT3NOIKA8HVFFAP98N7,8p0_3mini_5.mp4,see you in the next video I,0,0,2,,see you in the next video I
3UYRNV2KISYXT3NOIKA8HVFFAP98N7,8p0_3mini_5.mp4,catch you there,0,0,2,,catch you there
3UYRNV2KISYXT3NOIKA8HVFFAP98N7,8p0_3mini_5.mp4,joke that I,0,0,2,,joke that I
3UYRNV2KISYXT3NOIKA8HVFFAP98N7,8p0_3mini_5.mp4,leave me a comment down below which of these products or your favorite,0,0,2,,leave me a comment down below which of these products or your favorite
3UYRNV2KISYXT3NOIKA8HVFFAP98N7,6p1_3mini_1.mp4,make myself a coffee I,0,0,0,make myself a coffee I,make myself a coffee I
3UYRNV2KISYXT3NOIKA8HVFFAP98N7,6p1_3mini_1.mp4,giving you an overview of my current morning routine,0,0,0,giving you an overview of my current morning routine,giving you an overview of my current morning routine
3UYRNV2KISYXT3NOIKA8HVFFAP98N7,6p1_3mini_1.mp4,do every single day,0,0,2,,do every single day
3UYRNV2KISYXT3NOIKA8HVFFAP98N7,6p1_3mini_1.mp4,comes into my room in the morning which I seriously,0,0,2,,comes into my room in the morning which I seriously
3UYRNV2KISYXT3NOIKA8HVFFAP98N7,6p1_3mini_1.mp4,do most days of the week they,0,0,2,,do most days of the week they
3UYRNV2KISYXT3NOIKA8HVFFAP98N7,6p1_3mini_1.mp4,sharing with you all of the things that I,0,0,2,,sharing with you all of the things that I
3UYRNV2KISYXT3NOIKA8HVFFAP98N7,6p1_3mini_1.mp4,go straight out,0,0,2,,go straight out
3UYRNV2KISYXT3NOIKA8HVFFAP98N7,7mini_29.mp4,topping mine with some cream cheese and sliced avocado,0,0,0,topping mine with some cream cheese and sliced avocado,topping mine with some cream cheese and sliced avocado
3UYRNV2KISYXT3NOIKA8HVFFAP98N7,7mini_29.mp4,making myself a berry and granola yogurt,0,0,0,making myself a berry and granola yogurt,making myself a berry and granola yogurt
3UYRNV2KISYXT3NOIKA8HVFFAP98N7,7mini_29.mp4,add some delicious blueberries,0,0,0,add some delicious blueberries,add some delicious blueberries
