Video_name,Visible Actions,Not Visible Actions
2p0_3mini_2.mp4,,taste good
2p0_3mini_2.mp4,,taste even more egg like
2p0_3mini_2.mp4,,making it
2p0_3mini_2.mp4,,add to the egg tofu mixture too
2p0_3mini_2.mp4,,see how good plant-based food
2p0_3mini_2.mp4,,see the recipe that I
2p0_3mini_2.mp4,,go super easy simple recipes
2p0_3mini_2.mp4,,has you roast a lot of stuff a lot of the vegetables in the oven
2p0_3mini_2.mp4,,show you that
2p0_3mini_2.mp4,,do different oh no there
2p0_3mini_2.mp4,,make it
2p0_3mini_2.mp4,,check it out
2p0_3mini_2.mp4,,show you as I
2p0_3mini_2.mp4,,do that
7p1_3mini_4.mp4,,took a square dollar tree bin one of the really big ones
7p1_3mini_4.mp4,,lay it flat
7p1_3mini_4.mp4,,hope you guys
7p1_3mini_4.mp4,goes like a file system into your deep freezer,
7p1_3mini_4.mp4,add things like cilantro,
7p1_3mini_4.mp4,frozen I just,
7p1_3mini_4.mp4,goes into four different Ziploc bags which,
7p1_3mini_4.mp4,,got the chicken quinoa
7p1_3mini_4.mp4,,hear in the background Oh
7p1_3mini_4.mp4,,find what we
7p1_3mini_4.mp4,leave it a thumbs up,
6p1_3mini_1.mp4,get out of bed,
6p1_3mini_1.mp4,,head straight to the couch the first thing that I
6p1_3mini_1.mp4,,looking at my phone in the morning anymore
6p1_3mini_1.mp4,mix my coffee with a little bit of soy milk,
6p1_3mini_1.mp4,,stay asleep which
6p1_3mini_1.mp4,,give it a thumbs up
6p1_3mini_1.mp4,,use the black coffee pods I
8p1_3mini_4.mp4,,cooled pasta into a bowl
8p1_3mini_4.mp4,put mixed nuts,
8p1_3mini_4.mp4,,add a bunch of veggies
8p1_3mini_4.mp4,dried apricots,
8p1_3mini_4.mp4,,added some dates which
8p1_3mini_4.mp4,make it a little bit healthier,
8p1_3mini_4.mp4,,sliced in half
8p1_3mini_4.mp4,,using for these lunches I
8p1_3mini_4.mp4,,found them on Amazon for around 10
8p1_3mini_4.mp4,,come with a spork which
8p1_3mini_4.mp4,,use brown rice or quinoa pasta just
8p1_3mini_4.mp4,,eat it every single day sometimes twice a day
8p1_3mini_4.mp4,,give it some added protein
8p1_3mini_4.mp4,,put the
10p1_3mini_1.mp4,,do during the week or on the weekend when you
10p1_3mini_1.mp4,,has about 17 grams of protein that
10p1_3mini_1.mp4,show you,
10p1_3mini_1.mp4,,get one that
10p1_3mini_1.mp4,,mix mine this
10p1_3mini_1.mp4,,heard of it
10p1_3mini_1.mp4,,add mine with a whole banana
10p1_3mini_1.mp4,,has sugar already you
10p1_3mini_1.mp4,,snacking on any of those junk foods that people
10p1_3mini_1.mp4,,do my first breakfast option here
10p1_3mini_1.mp4,,keep you full hopefully into lunch time
10p1_3mini_1.mp4,control it,
10p1_3mini_1.mp4,,add your sugar
5p0_3mini_7.mp4,,made with coconut milk it
5p0_3mini_7.mp4,,eat in a daze if you
5p0_3mini_7.mp4,eat one,
5p0_3mini_7.mp4,,click the
5p0_3mini_7.mp4,,check out some more what I
5p0_3mini_7.mp4,ended up just,
5p0_3mini_7.mp4,,eating the whole bar
5p0_3mini_7.mp4,,finish off my friday night I
5p0_3mini_7.mp4,,see you next Sunday bye
5p0_3mini_7.mp4,,making this recipe I
5p0_3mini_7.mp4,,eats for the day I
5p0_3mini_7.mp4,,get some extra veggies
5p0_3mini_7.mp4,,tasted incredible this
5p0_3mini_7.mp4,,stop myself from
9p0_3mini_5.mp4,freaked her out Brooks,
9p0_3mini_5.mp4,offer him a lot of variety in the end the goal,
9p0_3mini_5.mp4,,pique her interest
9p0_3mini_5.mp4,,get together a few friends
9p0_3mini_5.mp4,,come to terms with that another day another peanut butter
9p0_3mini_5.mp4,support it,
9p0_3mini_5.mp4,,making lunch
4p1_3mini_16.mp4,keep things pretty simple,
4p1_3mini_16.mp4,use that as a table runner,
4p1_3mini_16.mp4,,looks really pretty as well
4p1_3mini_16.mp4,,sitting around in my house
4p1_3mini_16.mp4,,got this cake
4p1_3mini_16.mp4,,wrapped twine around it
4p1_3mini_16.mp4,,seen better days
6p0_3mini_2.mp4,adds healthy fats to my breakfast,
6p0_3mini_2.mp4,added pure Earth 's,
6p0_3mini_2.mp4,,purchased in facilities that also
6p0_3mini_2.mp4,making Apple Oatmeal this,
6p0_3mini_2.mp4,add the rest of the ingredients I always,
6p0_3mini_2.mp4,mix half a cup of whole rolled oats with one,
6p0_3mini_2.mp4,simmer for about 10 to 20 minutes depending on how much water I,
6p0_3mini_2.mp4,,adding one flat teaspoon of coconut oil to mark meal this
6p0_3mini_2.mp4,,gluten free
6p0_3mini_2.mp4,,cross-contaminated most commercial art products
6p0_3mini_2.mp4,,process other grains like wheat or rye
6p0_3mini_2.mp4,,suffers from a gluten allergy or a gluten intolerance
6p0_3mini_2.mp4,,labeled gluten-free
6p0_3mini_2.mp4,bring that to a boil on the stove,
4p0_3mini_7.mp4,make it a positive statement about yourself,
4p0_3mini_7.mp4,fill it in,
4p0_3mini_7.mp4,,do you in that day
4p0_3mini_7.mp4,,make today great
4p0_3mini_7.mp4,,focus on that the second question
4p0_3mini_7.mp4,,complete the sentence the key
4p0_3mini_7.mp4,,brave I
3p1_3mini_3.mp4,,go to Target
3p1_3mini_3.mp4,,go along good I just
3p1_3mini_3.mp4,,start at the Dollar Tree
3p1_3mini_3.mp4,smells really good next thing I,
3p1_3mini_3.mp4,smells really good now this,
3p1_3mini_3.mp4,,see what they
3p1_3mini_3.mp4,smells it just,
4p0_3mini_14.mp4,,answer the three questions that I
4p0_3mini_14.mp4,,design your own morning routine however you like it
4p0_3mini_14.mp4,,asks you
4p0_3mini_14.mp4,use the five-minute journal app sometimes,
4p0_3mini_14.mp4,,takes actually less than five minutes
4p0_3mini_14.mp4,use it,
4p0_3mini_14.mp4,,got the three questions from you
4p0_3mini_14.mp4,,take a few minutes to journal if you into that I
4p0_3mini_14.mp4,stay off social media,
4p0_3mini_14.mp4,,mentioned earlier that
4p0_3mini_14.mp4,sit by yourself for a quiet moment in the morning,
4p0_3mini_14.mp4,meditating you,
4p0_3mini_14.mp4,,ask myself the three questions it
5p0_3mini_5.mp4,,chop up a red onion
5p0_3mini_5.mp4,,filling then
5p0_3mini_5.mp4,,make some kind of like twice baked pizza sweet potato
5p0_3mini_5.mp4,,do pizza on friday
5p0_3mini_5.mp4,added some nutritional yeast,
5p0_3mini_5.mp4,,filling up with a fort
5p0_3mini_5.mp4,give it that salty cheesy flavor,
5p0_3mini_5.mp4,,steamed it in the microwave just like you
5p0_3mini_5.mp4,added some kind of like pizza ingredients,
5p0_3mini_5.mp4,picked up a huge sweet potato from the store on my way home,
5p0_3mini_5.mp4,got some of this tomato basil kinda like a marinara sauce,
5p0_3mini_5.mp4,,took out the I just
5p0_3mini_5.mp4,,mashed the
5p0_3mini_5.mp4,,make a big potato
2p0_3mini_1.mp4,,tasked me with
2p0_3mini_1.mp4,,doing something a little different this morning we
2p0_3mini_1.mp4,,do since I
2p0_3mini_1.mp4,,watching this I
2p0_3mini_1.mp4,,eat more
2p0_3mini_1.mp4,,do my parents for breakfast or brunch
2p0_3mini_1.mp4,,bringing a frittata
2p0_3mini_1.mp4,,exchanged gifts with just each other
2p0_3mini_1.mp4,make a tofu quiche,
2p0_3mini_1.mp4,,hope that
2p0_3mini_1.mp4,celebrate anything else during the holiday I,
2p0_3mini_1.mp4,,celebrate if you
2p0_3mini_1.mp4,,bring a plant-based option to the meal
2p0_3mini_1.mp4,,hope you
9p0_3mini_2.mp4,stay warm for a very long time,
9p0_3mini_2.mp4,comes with four slots,
