HIT_nb,Video_name,Actions,Worker_1,Worker_2,Worker_3,All_Yes_actions,Majority_Yes_actions,Majority_No_actions
3FI30CQHVJI8OGF3MF816MJUN55B6Z,2p0_3mini_2.mp4,taste good,1,2,0,,,taste good
3FI30CQHVJI8OGF3MF816MJUN55B6Z,2p0_3mini_2.mp4,taste even more egg like,1,2,0,,,taste even more egg like
3FI30CQHVJI8OGF3MF816MJUN55B6Z,2p0_3mini_2.mp4,making it,0,1,0,,making it,
3FI30CQHVJI8OGF3MF816MJUN55B6Z,2p0_3mini_2.mp4,add to the egg tofu mixture too,1,1,0,,,add to the egg tofu mixture too
3FI30CQHVJI8OGF3MF816MJUN55B6Z,2p0_3mini_2.mp4,see how good plant-based food,1,1,0,,,see how good plant-based food
3FI30CQHVJI8OGF3MF816MJUN55B6Z,2p0_3mini_2.mp4,see the recipe that I,0,1,0,,see the recipe that I,
3FI30CQHVJI8OGF3MF816MJUN55B6Z,2p0_3mini_2.mp4,go super easy simple recipes,0,2,0,,go super easy simple recipes,
3FI30CQHVJI8OGF3MF816MJUN55B6Z,2p0_3mini_2.mp4,has you roast a lot of stuff a lot of the vegetables in the oven,1,1,0,,,has you roast a lot of stuff a lot of the vegetables in the oven
3FI30CQHVJI8OGF3MF816MJUN55B6Z,2p0_3mini_2.mp4,show you that,0,1,0,,show you that,
3FI30CQHVJI8OGF3MF816MJUN55B6Z,2p0_3mini_2.mp4,do different oh no there,1,2,0,,,do different oh no there
3FI30CQHVJI8OGF3MF816MJUN55B6Z,2p0_3mini_2.mp4,make it,1,1,0,,,make it
3FI30CQHVJI8OGF3MF816MJUN55B6Z,2p0_3mini_2.mp4,check it out,0,1,0,,check it out,
3FI30CQHVJI8OGF3MF816MJUN55B6Z,2p0_3mini_2.mp4,show you as I,0,1,0,,show you as I,
3FI30CQHVJI8OGF3MF816MJUN55B6Z,2p0_3mini_2.mp4,do that,2,1,0,,,do that
3FI30CQHVJI8OGF3MF816MJUN55B6Z,7p1_3mini_4.mp4,took a square dollar tree bin one of the really big ones,1,1,0,,,took a square dollar tree bin one of the really big ones
3FI30CQHVJI8OGF3MF816MJUN55B6Z,7p1_3mini_4.mp4,lay it flat,1,0,0,,lay it flat,
3FI30CQHVJI8OGF3MF816MJUN55B6Z,7p1_3mini_4.mp4,hope you guys,0,2,0,,hope you guys,
3FI30CQHVJI8OGF3MF816MJUN55B6Z,7p1_3mini_4.mp4,goes like a file system into your deep freezer,0,0,0,goes like a file system into your deep freezer,goes like a file system into your deep freezer,
3FI30CQHVJI8OGF3MF816MJUN55B6Z,7p1_3mini_4.mp4,add things like cilantro,0,0,0,add things like cilantro,add things like cilantro,
3FI30CQHVJI8OGF3MF816MJUN55B6Z,7p1_3mini_4.mp4,frozen I just,0,0,0,frozen I just,frozen I just,
3FI30CQHVJI8OGF3MF816MJUN55B6Z,7p1_3mini_4.mp4,goes into four different Ziploc bags which,0,0,0,goes into four different Ziploc bags which,goes into four different Ziploc bags which,
3FI30CQHVJI8OGF3MF816MJUN55B6Z,7p1_3mini_4.mp4,got the chicken quinoa,1,0,0,,got the chicken quinoa,
3FI30CQHVJI8OGF3MF816MJUN55B6Z,7p1_3mini_4.mp4,hear in the background Oh,0,1,0,,hear in the background Oh,
3FI30CQHVJI8OGF3MF816MJUN55B6Z,7p1_3mini_4.mp4,find what we,0,2,0,,find what we,
3FI30CQHVJI8OGF3MF816MJUN55B6Z,7p1_3mini_4.mp4,leave it a thumbs up,0,0,0,leave it a thumbs up,leave it a thumbs up,
3FI30CQHVJI8OGF3MF816MJUN55B6Z,3mini_5.mp4,take him on a walk you just,0,1,0,,take him on a walk you just,
3FI30CQHVJI8OGF3MF816MJUN55B6Z,3mini_5.mp4,smile when you,1,1,0,,,smile when you
3FI30CQHVJI8OGF3MF816MJUN55B6Z,3mini_5.mp4,look at him,1,1,0,,,look at him
3FI30CQHVJI8OGF3MF816MJUN55B6Z,3mini_5.mp4,getting outside for the first time,0,1,0,,getting outside for the first time,
3FI30CQHVJI8OGF3MF816MJUN55B6Z,3mini_5.mp4,get in the car,0,0,0,get in the car,get in the car,
3FI30CQHVJI8OGF3MF816MJUN55B6Z,3mini_5.mp4,head to our favorite place,0,1,0,,head to our favorite place,
3UYRNV2KISYXT3NOIKA8HVFFAP98N7,7p1_3mini_2.mp4,put in soon,0,0,2,,put in soon,
3UYRNV2KISYXT3NOIKA8HVFFAP98N7,7p1_3mini_2.mp4,makes it,0,0,0,makes it,makes it,
3UYRNV2KISYXT3NOIKA8HVFFAP98N7,7p1_3mini_2.mp4,chopped up all of my veggies for all of the recipes,0,0,0,chopped up all of my veggies for all of the recipes,chopped up all of my veggies for all of the recipes,
3UYRNV2KISYXT3NOIKA8HVFFAP98N7,7p1_3mini_2.mp4,see exactly what I,0,0,2,,see exactly what I,
3UYRNV2KISYXT3NOIKA8HVFFAP98N7,7p1_3mini_2.mp4,boil it for fajitas,0,0,2,,boil it for fajitas,
3UYRNV2KISYXT3NOIKA8HVFFAP98N7,7p1_3mini_2.mp4,whisked my sauce for my Thai peanut recipe,0,0,1,,whisked my sauce for my Thai peanut recipe,
3UYRNV2KISYXT3NOIKA8HVFFAP98N7,7p1_3mini_2.mp4,go I,0,0,2,,go I,
3UYRNV2KISYXT3NOIKA8HVFFAP98N7,7p1_3mini_2.mp4,shredding it,0,0,1,,shredding it,
3UYRNV2KISYXT3NOIKA8HVFFAP98N7,7p1_3mini_2.mp4,spent just 80 dollars at the grocery store that,0,0,1,,spent just 80 dollars at the grocery store that,
3UYRNV2KISYXT3NOIKA8HVFFAP98N7,7p1_3mini_2.mp4,open up all the cans everything,0,0,0,open up all the cans everything,open up all the cans everything,
3UYRNV2KISYXT3NOIKA8HVFFAP98N7,7p1_3mini_2.mp4,start the chicken I always,0,0,0,start the chicken I always,start the chicken I always,
3UYRNV2KISYXT3NOIKA8HVFFAP98N7,7p1_3mini_2.mp4,lying out all of the pans,0,0,0,lying out all of the pans,lying out all of the pans,
3UYRNV2KISYXT3NOIKA8HVFFAP98N7,7p1_3mini_2.mp4,dressing mix this,0,0,2,,dressing mix this,
3UYRNV2KISYXT3NOIKA8HVFFAP98N7,7p1_3mini_2.mp4,browning everything,0,0,1,,browning everything,
3UYRNV2KISYXT3NOIKA8HVFFAP98N7,8p0_3mini_5.mp4,keeping your floors clean,0,0,0,keeping your floors clean,keeping your floors clean,
3UYRNV2KISYXT3NOIKA8HVFFAP98N7,8p0_3mini_5.mp4,refreshed I always or if you,0,0,2,,refreshed I always or if you,
3UYRNV2KISYXT3NOIKA8HVFFAP98N7,8p0_3mini_5.mp4,thank you that,0,0,2,,thank you that,
3UYRNV2KISYXT3NOIKA8HVFFAP98N7,8p0_3mini_5.mp4,see you in the next video I,0,0,2,,see you in the next video I,
3UYRNV2KISYXT3NOIKA8HVFFAP98N7,8p0_3mini_5.mp4,catch you there,0,0,2,,catch you there,
3UYRNV2KISYXT3NOIKA8HVFFAP98N7,8p0_3mini_5.mp4,joke that I,0,0,2,,joke that I,
3UYRNV2KISYXT3NOIKA8HVFFAP98N7,8p0_3mini_5.mp4,leave me a comment down below which of these products or your favorite,0,0,2,,leave me a comment down below which of these products or your favorite,
3UYRNV2KISYXT3NOIKA8HVFFAP98N7,6p1_3mini_1.mp4,make myself a coffee I,0,0,0,make myself a coffee I,make myself a coffee I,
3UYRNV2KISYXT3NOIKA8HVFFAP98N7,6p1_3mini_1.mp4,giving you an overview of my current morning routine,0,0,0,giving you an overview of my current morning routine,giving you an overview of my current morning routine,
3UYRNV2KISYXT3NOIKA8HVFFAP98N7,6p1_3mini_1.mp4,do every single day,0,0,2,,do every single day,
3UYRNV2KISYXT3NOIKA8HVFFAP98N7,6p1_3mini_1.mp4,comes into my room in the morning which I seriously,0,0,2,,comes into my room in the morning which I seriously,
3UYRNV2KISYXT3NOIKA8HVFFAP98N7,6p1_3mini_1.mp4,do most days of the week they,0,0,2,,do most days of the week they,
3UYRNV2KISYXT3NOIKA8HVFFAP98N7,6p1_3mini_1.mp4,sharing with you all of the things that I,0,0,2,,sharing with you all of the things that I,
3UYRNV2KISYXT3NOIKA8HVFFAP98N7,6p1_3mini_1.mp4,go straight out,0,0,2,,go straight out,
3UYRNV2KISYXT3NOIKA8HVFFAP98N7,7mini_29.mp4,topping mine with some cream cheese and sliced avocado,0,0,0,topping mine with some cream cheese and sliced avocado,topping mine with some cream cheese and sliced avocado,
3UYRNV2KISYXT3NOIKA8HVFFAP98N7,7mini_29.mp4,making myself a berry and granola yogurt,0,0,0,making myself a berry and granola yogurt,making myself a berry and granola yogurt,
3UYRNV2KISYXT3NOIKA8HVFFAP98N7,7mini_29.mp4,add some delicious blueberries,0,0,0,add some delicious blueberries,add some delicious blueberries,
3UYRNV2KISYXT3NOIKA8HVFFAP98N7,7mini_29.mp4,pour in my favorite granola,0,0,0,pour in my favorite granola,pour in my favorite granola,
3UYRNV2KISYXT3NOIKA8HVFFAP98N7,7mini_29.mp4,"Add another layer of yogurt , and top the healthy mix with yummy strawberries",0,0,0,"Add another layer of yogurt , and top the healthy mix with yummy strawberries","Add another layer of yogurt , and top the healthy mix with yummy strawberries",
3M4KL7H8KUM7BIXBKIFC0A6L1TE61B,6p1_3mini_1.mp4,get out of bed,0,0,0,get out of bed,get out of bed,
3M4KL7H8KUM7BIXBKIFC0A6L1TE61B,6p1_3mini_1.mp4,head straight to the couch the first thing that I,0,1,0,,head straight to the couch the first thing that I,
3M4KL7H8KUM7BIXBKIFC0A6L1TE61B,6p1_3mini_1.mp4,looking at my phone in the morning anymore,1,1,0,,,looking at my phone in the morning anymore
3M4KL7H8KUM7BIXBKIFC0A6L1TE61B,6p1_3mini_1.mp4,mix my coffee with a little bit of soy milk,0,0,0,mix my coffee with a little bit of soy milk,mix my coffee with a little bit of soy milk,
3M4KL7H8KUM7BIXBKIFC0A6L1TE61B,6p1_3mini_1.mp4,stay asleep which,1,1,0,,,stay asleep which
3M4KL7H8KUM7BIXBKIFC0A6L1TE61B,6p1_3mini_1.mp4,give it a thumbs up,1,1,0,,,give it a thumbs up
3M4KL7H8KUM7BIXBKIFC0A6L1TE61B,6p1_3mini_1.mp4,use the black coffee pods I,0,1,0,,use the black coffee pods I,
3M4KL7H8KUM7BIXBKIFC0A6L1TE61B,8p1_3mini_4.mp4,cooled pasta into a bowl,0,1,0,,cooled pasta into a bowl,
3M4KL7H8KUM7BIXBKIFC0A6L1TE61B,8p1_3mini_4.mp4,put mixed nuts,0,0,0,put mixed nuts,put mixed nuts,
3M4KL7H8KUM7BIXBKIFC0A6L1TE61B,8p1_3mini_4.mp4,add a bunch of veggies,0,1,0,,add a bunch of veggies,
3M4KL7H8KUM7BIXBKIFC0A6L1TE61B,8p1_3mini_4.mp4,dried apricots,0,0,0,dried apricots,dried apricots,
3M4KL7H8KUM7BIXBKIFC0A6L1TE61B,8p1_3mini_4.mp4,added some dates which,0,1,0,,added some dates which,
3M4KL7H8KUM7BIXBKIFC0A6L1TE61B,8p1_3mini_4.mp4,make it a little bit healthier,0,0,0,make it a little bit healthier,make it a little bit healthier,
3M4KL7H8KUM7BIXBKIFC0A6L1TE61B,8p1_3mini_4.mp4,sliced in half,0,1,0,,sliced in half,
3M4KL7H8KUM7BIXBKIFC0A6L1TE61B,8p1_3mini_4.mp4,using for these lunches I,2,0,0,,using for these lunches I,
3M4KL7H8KUM7BIXBKIFC0A6L1TE61B,8p1_3mini_4.mp4,found them on Amazon for around 10,2,0,0,,found them on Amazon for around 10,
3M4KL7H8KUM7BIXBKIFC0A6L1TE61B,8p1_3mini_4.mp4,come with a spork which,2,0,0,,come with a spork which,
3M4KL7H8KUM7BIXBKIFC0A6L1TE61B,8p1_3mini_4.mp4,use brown rice or quinoa pasta just,1,1,0,,,use brown rice or quinoa pasta just
3M4KL7H8KUM7BIXBKIFC0A6L1TE61B,8p1_3mini_4.mp4,eat it every single day sometimes twice a day,1,0,0,,eat it every single day sometimes twice a day,
3M4KL7H8KUM7BIXBKIFC0A6L1TE61B,8p1_3mini_4.mp4,give it some added protein,1,0,0,,give it some added protein,
3M4KL7H8KUM7BIXBKIFC0A6L1TE61B,8p1_3mini_4.mp4,put the,2,0,0,,put the,
3M4KL7H8KUM7BIXBKIFC0A6L1TE61B,10p1_3mini_1.mp4,do during the week or on the weekend when you,2,0,0,,do during the week or on the weekend when you,
3M4KL7H8KUM7BIXBKIFC0A6L1TE61B,10p1_3mini_1.mp4,has about 17 grams of protein that,2,0,0,,has about 17 grams of protein that,
3M4KL7H8KUM7BIXBKIFC0A6L1TE61B,10p1_3mini_1.mp4,show you,0,0,0,show you,show you,
3M4KL7H8KUM7BIXBKIFC0A6L1TE61B,10p1_3mini_1.mp4,get one that,2,0,0,,get one that,
3M4KL7H8KUM7BIXBKIFC0A6L1TE61B,10p1_3mini_1.mp4,mix mine this,2,0,0,,mix mine this,
3M4KL7H8KUM7BIXBKIFC0A6L1TE61B,10p1_3mini_1.mp4,heard of it,2,0,0,,heard of it,
3M4KL7H8KUM7BIXBKIFC0A6L1TE61B,10p1_3mini_1.mp4,add mine with a whole banana,1,1,0,,,add mine with a whole banana
3M4KL7H8KUM7BIXBKIFC0A6L1TE61B,7mini_31.mp4,check my social media,1,0,0,,check my social media,
3M4KL7H8KUM7BIXBKIFC0A6L1TE61B,7mini_31.mp4,answer to you guys,1,1,0,,,answer to you guys
3M4KL7H8KUM7BIXBKIFC0A6L1TE61B,7mini_31.mp4,Let me just,2,1,0,,,Let me just
3M4KL7H8KUM7BIXBKIFC0A6L1TE61B,7mini_31.mp4,make it at home,1,0,0,,make it at home,
3M4KL7H8KUM7BIXBKIFC0A6L1TE61B,7mini_31.mp4,put the jar lid on,1,0,0,,put the jar lid on,
3M4KL7H8KUM7BIXBKIFC0A6L1TE61B,7mini_31.mp4,take it with you to school or work,1,1,0,,,take it with you to school or work
3ZQX1VYFTC4FBON0JZALWKFK0ZE8OM,10p1_3mini_1.mp4,has sugar already you,2,1,1,,,has sugar already you
3ZQX1VYFTC4FBON0JZALWKFK0ZE8OM,10p1_3mini_1.mp4,snacking on any of those junk foods that people,2,1,0,,,snacking on any of those junk foods that people
3ZQX1VYFTC4FBON0JZALWKFK0ZE8OM,10p1_3mini_1.mp4,do my first breakfast option here,2,2,0,,,do my first breakfast option here
3ZQX1VYFTC4FBON0JZALWKFK0ZE8OM,10p1_3mini_1.mp4,keep you full hopefully into lunch time,2,2,0,,,keep you full hopefully into lunch time
3ZQX1VYFTC4FBON0JZALWKFK0ZE8OM,10p1_3mini_1.mp4,control it,1,0,0,,control it,
3ZQX1VYFTC4FBON0JZALWKFK0ZE8OM,10p1_3mini_1.mp4,add your sugar,1,1,0,,,add your sugar
3ZQX1VYFTC4FBON0JZALWKFK0ZE8OM,5p0_3mini_7.mp4,made with coconut milk it,2,2,0,,,made with coconut milk it
3ZQX1VYFTC4FBON0JZALWKFK0ZE8OM,5p0_3mini_7.mp4,eat in a daze if you,2,2,0,,,eat in a daze if you
3ZQX1VYFTC4FBON0JZALWKFK0ZE8OM,5p0_3mini_7.mp4,eat one,0,2,0,,eat one,
3ZQX1VYFTC4FBON0JZALWKFK0ZE8OM,5p0_3mini_7.mp4,click the,2,1,0,,,click the
3ZQX1VYFTC4FBON0JZALWKFK0ZE8OM,5p0_3mini_7.mp4,check out some more what I,2,1,0,,,check out some more what I
3ZQX1VYFTC4FBON0JZALWKFK0ZE8OM,5p0_3mini_7.mp4,ended up just,2,0,0,,ended up just,
3ZQX1VYFTC4FBON0JZALWKFK0ZE8OM,5p0_3mini_7.mp4,eating the whole bar,1,0,1,,,eating the whole bar
3ZQX1VYFTC4FBON0JZALWKFK0ZE8OM,5p0_3mini_7.mp4,finish off my friday night I,2,1,0,,,finish off my friday night I
3ZQX1VYFTC4FBON0JZALWKFK0ZE8OM,5p0_3mini_7.mp4,see you next Sunday bye,2,2,0,,,see you next Sunday bye
3ZQX1VYFTC4FBON0JZALWKFK0ZE8OM,5p0_3mini_7.mp4,making this recipe I,2,1,1,,,making this recipe I
3ZQX1VYFTC4FBON0JZALWKFK0ZE8OM,5p0_3mini_7.mp4,eats for the day I,2,0,1,,,eats for the day I
3ZQX1VYFTC4FBON0JZALWKFK0ZE8OM,5p0_3mini_7.mp4,get some extra veggies,1,2,1,,,get some extra veggies
3ZQX1VYFTC4FBON0JZALWKFK0ZE8OM,5p0_3mini_7.mp4,tasted incredible this,2,0,1,,,tasted incredible this
3ZQX1VYFTC4FBON0JZALWKFK0ZE8OM,5p0_3mini_7.mp4,stop myself from,2,1,1,,,stop myself from
3ZQX1VYFTC4FBON0JZALWKFK0ZE8OM,9p0_3mini_5.mp4,freaked her out Brooks,2,0,0,,freaked her out Brooks,
3ZQX1VYFTC4FBON0JZALWKFK0ZE8OM,9p0_3mini_5.mp4,offer him a lot of variety in the end the goal,2,0,0,,offer him a lot of variety in the end the goal,
3ZQX1VYFTC4FBON0JZALWKFK0ZE8OM,9p0_3mini_5.mp4,pique her interest,1,1,0,,,pique her interest
3ZQX1VYFTC4FBON0JZALWKFK0ZE8OM,9p0_3mini_5.mp4,get together a few friends,1,1,0,,,get together a few friends
3ZQX1VYFTC4FBON0JZALWKFK0ZE8OM,9p0_3mini_5.mp4,come to terms with that another day another peanut butter,2,1,0,,,come to terms with that another day another peanut butter
3ZQX1VYFTC4FBON0JZALWKFK0ZE8OM,9p0_3mini_5.mp4,support it,1,0,0,,support it,
3ZQX1VYFTC4FBON0JZALWKFK0ZE8OM,9p0_3mini_5.mp4,making lunch,1,0,1,,,making lunch
3ZQX1VYFTC4FBON0JZALWKFK0ZE8OM,7mini_36.mp4,paint my nails every weekend morning,1,1,0,,,paint my nails every weekend morning
3ZQX1VYFTC4FBON0JZALWKFK0ZE8OM,7mini_36.mp4,filming later that day,1,1,0,,,filming later that day
3ZQX1VYFTC4FBON0JZALWKFK0ZE8OM,7mini_36.mp4,", and",2,0,0,,", and",
3ZQX1VYFTC4FBON0JZALWKFK0ZE8OM,7mini_36.mp4,listen to some music,1,1,0,,,listen to some music
3ZQX1VYFTC4FBON0JZALWKFK0ZE8OM,7mini_36.mp4,paint my nails,0,1,0,,paint my nails,
3ZQX1VYFTC4FBON0JZALWKFK0ZE8OM,7mini_36.mp4,went for this purple shade on all the nails except my ring finger,0,0,0,went for this purple shade on all the nails except my ring finger,went for this purple shade on all the nails except my ring finger,
38EHZ67RILR64086PH7WWT7DTICGMV,9p0_3mini_5.mp4,introduce one new thing for lunch,0,0,2,,introduce one new thing for lunch,
38EHZ67RILR64086PH7WWT7DTICGMV,9p0_3mini_5.mp4,dipper carrots,0,0,2,,dipper carrots,
38EHZ67RILR64086PH7WWT7DTICGMV,9p0_3mini_5.mp4,get creative,0,0,1,,get creative,
38EHZ67RILR64086PH7WWT7DTICGMV,9p0_3mini_5.mp4,thank you guys,0,0,0,thank you guys,thank you guys,
38EHZ67RILR64086PH7WWT7DTICGMV,9p0_3mini_5.mp4,getting an identical lunch to their friends I personally,0,0,2,,getting an identical lunch to their friends I personally,
38EHZ67RILR64086PH7WWT7DTICGMV,9p0_3mini_5.mp4,getting a couple days off for,0,0,2,,getting a couple days off for,
38EHZ67RILR64086PH7WWT7DTICGMV,9p0_3mini_5.mp4,packing their line lunch pool,0,0,2,,packing their line lunch pool,
38EHZ67RILR64086PH7WWT7DTICGMV,4p1_3mini_6.mp4,rave about these constantly,0,0,2,,rave about these constantly,
38EHZ67RILR64086PH7WWT7DTICGMV,4p1_3mini_6.mp4,shine up my stove,0,0,0,shine up my stove,shine up my stove,
38EHZ67RILR64086PH7WWT7DTICGMV,4p1_3mini_6.mp4,promise you you,0,0,2,,promise you you,
38EHZ67RILR64086PH7WWT7DTICGMV,4p1_3mini_6.mp4,use the e cloth,0,0,0,use the e cloth,use the e cloth,
38EHZ67RILR64086PH7WWT7DTICGMV,4p1_3mini_6.mp4,find anything that,0,0,2,,find anything that,
38EHZ67RILR64086PH7WWT7DTICGMV,4p1_3mini_6.mp4,happens there,0,0,2,,happens there,
38EHZ67RILR64086PH7WWT7DTICGMV,4p1_3mini_6.mp4,does anybody else,0,0,2,,does anybody else,
38EHZ67RILR64086PH7WWT7DTICGMV,4p1_3mini_6.mp4,using my eClass,0,0,2,,using my eClass,
38EHZ67RILR64086PH7WWT7DTICGMV,4p1_3mini_6.mp4,wipe it down,0,0,0,wipe it down,wipe it down,
38EHZ67RILR64086PH7WWT7DTICGMV,4p1_3mini_6.mp4,wiping them I it it just,0,0,2,,wiping them I it it just,
38EHZ67RILR64086PH7WWT7DTICGMV,4p1_3mini_6.mp4,keep these things clean in our house next I just,0,0,2,,keep these things clean in our house next I just,
38EHZ67RILR64086PH7WWT7DTICGMV,4p1_3mini_6.mp4,yeah it,0,0,2,,yeah it,
38EHZ67RILR64086PH7WWT7DTICGMV,4p1_3mini_6.mp4,wipe down their chairs,0,0,0,wipe down their chairs,wipe down their chairs,
38EHZ67RILR64086PH7WWT7DTICGMV,4p1_3mini_6.mp4,got a wet washcloth,0,0,0,got a wet washcloth,got a wet washcloth,
38EHZ67RILR64086PH7WWT7DTICGMV,4p1_3mini_16.mp4,took them out of the clay pot,0,0,1,,took them out of the clay pot,
38EHZ67RILR64086PH7WWT7DTICGMV,4p1_3mini_16.mp4,got this tray from Hobby Lobby on sale,0,0,2,,got this tray from Hobby Lobby on sale,
38EHZ67RILR64086PH7WWT7DTICGMV,4p1_3mini_16.mp4,got these actually at the Dollar Tree they,0,0,2,,got these actually at the Dollar Tree they,
38EHZ67RILR64086PH7WWT7DTICGMV,4p1_3mini_16.mp4,make it pretty rustic I also,0,0,2,,make it pretty rustic I also,
38EHZ67RILR64086PH7WWT7DTICGMV,4p1_3mini_16.mp4,invites us,0,0,1,,invites us,
38EHZ67RILR64086PH7WWT7DTICGMV,4p1_3mini_16.mp4,came in these little clay pots,0,0,2,,came in these little clay pots,
38EHZ67RILR64086PH7WWT7DTICGMV,4p1_3mini_16.mp4,eat it,0,0,1,,eat it,
38EHZ67RILR64086PH7WWT7DTICGMV,1mini_8.mp4,make these,0,0,1,,make these,
38EHZ67RILR64086PH7WWT7DTICGMV,1mini_8.mp4,offer it to him if he,0,0,1,,offer it to him if he,
38EHZ67RILR64086PH7WWT7DTICGMV,1mini_8.mp4,asks me for a snack if he,0,0,2,,asks me for a snack if he,
38EHZ67RILR64086PH7WWT7DTICGMV,1mini_8.mp4,finish it all I,0,0,1,,finish it all I,
38EHZ67RILR64086PH7WWT7DTICGMV,1mini_8.mp4,put it back in the refrigerator,0,0,0,put it back in the refrigerator,put it back in the refrigerator,
38EHZ67RILR64086PH7WWT7DTICGMV,1mini_8.mp4,go on hand,0,0,1,,go on hand,
35NNO802AUVQI9Z1R6MZUK9TDLEINP,4p1_3mini_16.mp4,keep things pretty simple,0,0,0,keep things pretty simple,keep things pretty simple,
35NNO802AUVQI9Z1R6MZUK9TDLEINP,4p1_3mini_16.mp4,use that as a table runner,0,0,0,use that as a table runner,use that as a table runner,
35NNO802AUVQI9Z1R6MZUK9TDLEINP,4p1_3mini_16.mp4,looks really pretty as well,0,2,0,,looks really pretty as well,
35NNO802AUVQI9Z1R6MZUK9TDLEINP,4p1_3mini_16.mp4,sitting around in my house,1,0,1,,,sitting around in my house
35NNO802AUVQI9Z1R6MZUK9TDLEINP,4p1_3mini_16.mp4,got this cake,0,1,0,,got this cake,
35NNO802AUVQI9Z1R6MZUK9TDLEINP,4p1_3mini_16.mp4,wrapped twine around it,0,1,1,,,wrapped twine around it
35NNO802AUVQI9Z1R6MZUK9TDLEINP,4p1_3mini_16.mp4,seen better days,0,2,0,,seen better days,
35NNO802AUVQI9Z1R6MZUK9TDLEINP,6p0_3mini_2.mp4,adds healthy fats to my breakfast,0,0,0,adds healthy fats to my breakfast,adds healthy fats to my breakfast,
35NNO802AUVQI9Z1R6MZUK9TDLEINP,6p0_3mini_2.mp4,added pure Earth 's,0,0,0,added pure Earth 's,added pure Earth 's,
35NNO802AUVQI9Z1R6MZUK9TDLEINP,6p0_3mini_2.mp4,purchased in facilities that also,1,2,1,,,purchased in facilities that also
35NNO802AUVQI9Z1R6MZUK9TDLEINP,6p0_3mini_2.mp4,making Apple Oatmeal this,0,0,0,making Apple Oatmeal this,making Apple Oatmeal this,
35NNO802AUVQI9Z1R6MZUK9TDLEINP,6p0_3mini_2.mp4,add the rest of the ingredients I always,0,0,0,add the rest of the ingredients I always,add the rest of the ingredients I always,
35NNO802AUVQI9Z1R6MZUK9TDLEINP,6p0_3mini_2.mp4,mix half a cup of whole rolled oats with one,0,0,0,mix half a cup of whole rolled oats with one,mix half a cup of whole rolled oats with one,
35NNO802AUVQI9Z1R6MZUK9TDLEINP,6p0_3mini_2.mp4,simmer for about 10 to 20 minutes depending on how much water I,0,0,0,simmer for about 10 to 20 minutes depending on how much water I,simmer for about 10 to 20 minutes depending on how much water I,
35NNO802AUVQI9Z1R6MZUK9TDLEINP,6p0_3mini_2.mp4,adding one flat teaspoon of coconut oil to mark meal this,0,2,0,,adding one flat teaspoon of coconut oil to mark meal this,
